;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.3347216546535492;RDF603;Philosophy;0.9778833985328674;RDF601;History, archaeology and related studies;0.8956824541091919;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8472108840942383
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.6720020771026611;RDF106;Biological sciences;0.9937466382980347;RDF107;Other natural sciences;0.2304052710533142;RDF105;Earth and related environmental sciences;0.007621430326253176
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.3099469542503357;RDF304;Medical biotechnology;0.29665425419807434;RDF305;Other medical sciences;0.1445106714963913;RDF303;Health sciences;0.10340859740972519
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF30;Medical, health and life sciences;0.553292453289032;RDF304;Medical biotechnology;0.5981948971748352;RDF301;Basic medicine and life sciences;0.46678483486175537;RDF305;Other medical sciences;0.3652302622795105
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.37296897172927856;RDF303;Health sciences;0.7675537467002869;RDF304;Medical biotechnology;0.6520199179649353;RDF301;Basic medicine and life sciences;0.4101950228214264
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);RDF50;Social sciences;0.5137466192245483;RDF503;Education;0.9680808782577515;RDF504;Sociology and related studies;0.30955833196640015;RDF509;Other social sciences;0.01681775227189064
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);RDF20-21;Engineering and technology;0.4544532001018524;RDF211;Nano-technology;0.9862046241760254;RDF202;Industrial, systems and processes engineering;0.939108669757843;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.8145695924758911
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF10;Natural sciences;0.5174173712730408;RDF105;Earth and related environmental sciences;0.875361442565918;RDF103;Physical sciences;0.7880943417549133;RDF107;Other natural sciences;0.48157569766044617
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Political science and public administration);RDF50;Social sciences;0.4534109830856323;RDF506;Political science and policy administration;0.8953168988227844;RDF505;Law and legal practice;0.832236647605896;RDF504;Sociology and related studies;0.0344722718000412
20;Intentions or affect: Which is a key driver of physical activity? Using ecological momentary assessment to understand the intention-behaviour gap in schizophrenia spectrum disorders (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.9867629408836365;RDF509;Other social sciences;0.0589117631316185;RDF507;Social and economic geography;0.05546392872929573;RDF504;Sociology and related studies;0.033242542296648026
21;Biophysical and genetic control of root growth;RDF30;Medical, health and life sciences;0.6965168118476868;RDF301;Basic medicine and life sciences;0.9742149114608765;RDF304;Medical biotechnology;0.48620957136154175;RDF305;Other medical sciences;0.29928433895111084
22;Open-source numerical strategy for the analysis and redesign of turbomachine blades accounting for nonlinear structural interactions;RDF20-21;Engineering and technology;0.4659169614315033;RDF212;Other engineering and technologies;0.6823620796203613;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.5445591807365417;RDF202;Industrial, systems and processes engineering;0.5358878374099731
23;Application of Boltzmann Transport Equation solutions to nuclear reactor physics and radiotherapy applications (Physics);RDF30;Medical, health and life sciences;0.5699093341827393;RDF305;Other medical sciences;0.05335398390889168;RDF303;Health sciences;0.0055119339376688;RDF301;Basic medicine and life sciences;0.004331502132117748
24;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur;RDF20-21;Engineering and technology;0.501550018787384;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9946877956390381;RDF202;Industrial, systems and processes engineering;0.9666867256164551;RDF203;Electrical engineering, computer engineering, and information engineering;0.9231258034706116
25;Interdisciplinary Canadian Collaborative ME Research Network;RDF30;Medical, health and life sciences;0.7228295803070068;RDF304;Medical biotechnology;0.9443824291229248;RDF301;Basic medicine and life sciences;0.31520876288414;RDF305;Other medical sciences;0.2978910505771637
26;La nouvelle politique de la redistribution (Political science and public administration);RDF50;Social sciences;0.37405282258987427;RDF506;Political science and policy administration;0.8897685408592224;RDF508;Media and communications;0.06925792992115021;RDF505;Law and legal practice;0.02895316295325756
27;Extracellular vesicles and their miR cargo to enhance ischemia-induced neovascularization in peripheral artery disease (Cardiovascular System – Vascular System);RDF30;Medical, health and life sciences;0.3520422875881195;RDF304;Medical biotechnology;0.9741411805152893;RDF303;Health sciences;0.6629601120948792;RDF301;Basic medicine and life sciences;0.588297963142395
28;Low-Dimensional Organic Materials for Energy, Electronic and Environment Applications;RDF10;Natural sciences;0.6479013562202454;RDF105;Earth and related environmental sciences;0.9821341037750244;RDF102;Computer and information sciences;0.5958600044250488;RDF107;Other natural sciences;0.3527703285217285
29;Histone protein supply and demand: life on a knife's edge (Genes, Cells and Molecules);RDF10;Natural sciences;0.6298618316650391;RDF106;Biological sciences;0.9984268546104431;RDF105;Earth and related environmental sciences;0.6781138181686401;RDF107;Other natural sciences;0.554711639881134
30;Bayesian deep-learning prediction with sparse graphs (Mathematics and Statistics);RDF30;Medical, health and life sciences;0.41872817277908325;RDF304;Medical biotechnology;0.2927974760532379;RDF303;Health sciences;0.004318885505199432;RDF305;Other medical sciences;0.0012843080330640078
31;At the Edge of Soft Power: French Saint-Simonians and Nineteenth-Century Visions of Development (History);RDF50;Social sciences;0.36758747696876526;RDF505;Law and legal practice;0.4063451588153839;RDF503;Education;0.30296435952186584;RDF509;Other social sciences;0.0693524181842804
32;Random walks on random graphs in high dimensions (Mathematics and Statistics);RDF30;Medical, health and life sciences;0.4760603904724121;RDF304;Medical biotechnology;0.004264634568244219;RDF305;Other medical sciences;0.0014579034177586436;RDF301;Basic medicine and life sciences;0.0006226772093214095
33;Roles, mechanisms of action and regulation of Hippo signaling in the testis (Biological Systems and Functions);RDF10;Natural sciences;0.6146624088287354;RDF106;Biological sciences;0.9985191226005554;RDF103;Physical sciences;0.4548353850841522;RDF107;Other natural sciences;0.4184592664241791
34;The role of the TGFB-SOX9 signaling pathway in brain angiogenesis (Biological Systems and Functions);RDF10;Natural sciences;0.9005246758460999;RDF106;Biological sciences;0.9987600445747375;RDF107;Other natural sciences;0.15463115274906158;RDF103;Physical sciences;0.018264278769493103
35;A randomized controlled trial comparing Virtual Reality Therapy to Supportive Therapy to reduce cannabis use in patients with psychotic disorders;RDF30;Medical, health and life sciences;0.30806562304496765;RDF303;Health sciences;0.7679075002670288;RDF305;Other medical sciences;0.3935224711894989;RDF304;Medical biotechnology;0.348589688539505
36;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Education and social work);RDF50;Social sciences;0.930061936378479;RDF503;Education;0.9211806058883667;RDF504;Sociology and related studies;0.7291341423988342;RDF501;Psychology and cognitive sciences;0.06916356831789017
37;Impact of insects by-products and phytogenics on the piglet's intestinal health;RDF10;Natural sciences;0.5414584279060364;RDF106;Biological sciences;0.8818185925483704;RDF104;Chemical sciences;0.7258430123329163;RDF105;Earth and related environmental sciences;0.7235780954360962
38;Response of the continental water cycle to greenhouse warming: evaluating, understanding and constraining Earth System Model projections (Geosciences);RDF20-21;Engineering and technology;0.34513017535209656;RDF208;Environmental engineering and related engineering;0.8978745341300964;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.8601270318031311;RDF202;Industrial, systems and processes engineering;0.08969352394342422
39;Why Do Green Products Suffer from Low Consumer Preference? An Explanation Based on Ease of Benefit Visualization and Price Fairness Perceptions;RDF10;Natural sciences;0.6322574615478516;RDF105;Earth and related environmental sciences;0.9440963864326477;RDF106;Biological sciences;0.7367795705795288;RDF104;Chemical sciences;0.1848042756319046
40;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Geography, urban planning and related fields);RDF50;Social sciences;0.44133925437927246;RDF507;Social and economic geography;0.517327070236206;RDF509;Other social sciences;0.09293445199728012;RDF503;Education;0.03618597984313965
41;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles);RDF60;Humanities and the arts;0.3814038038253784;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9885140657424927;RDF605;Other humanities;0.3752484619617462;RDF601;History, archaeology and related studies;0.3446294963359833
42;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale;RDF50;Social sciences;0.6481834650039673;RDF501;Psychology and cognitive sciences;0.6818724274635315;RDF505;Law and legal practice;0.20763614773750305;RDF508;Media and communications;0.146117702126503
43;The ethical challenges of Artificial Intelligence for start-ups;RDF20-21;Engineering and technology;0.46671125292778015;RDF212;Other engineering and technologies;0.7486969828605652;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.7084143757820129;RDF202;Industrial, systems and processes engineering;0.6433292627334595
44;Integrating impacts from marine plastics in Life Cycle Assessment (Civil, Industrial and Systems Engineering);RDF20-21;Engineering and technology;0.912151038646698;RDF202;Industrial, systems and processes engineering;0.7801604866981506;RDF211;Nano-technology;0.31218650937080383;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.06796305626630783
45;A Semantic Parsing Approach to Open-world Knowledge Graph Question Answering;RDF30;Medical, health and life sciences;0.36324402689933777;RDF304;Medical biotechnology;0.38237205147743225;RDF303;Health sciences;0.17314834892749786;RDF301;Basic medicine and life sciences;0.01640303246676922
46;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé (Indigenous research);RDF30;Medical, health and life sciences;0.7312824130058289;RDF303;Health sciences;0.999651312828064;RDF301;Basic medicine and life sciences;0.661048173904419;RDF304;Medical biotechnology;0.3796083331108093
47;Pathways for the digital economy: Adolescent digital literacies and InstaPoetry;RDF60;Humanities and the arts;0.2390233725309372;RDF605;Other humanities;0.025011597201228142;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.01901443488895893;RDF602;Languages and literature;0.0035761611070483923
48;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.9819077849388123;RDF504;Sociology and related studies;0.7471780776977539;RDF509;Other social sciences;0.10311471670866013;RDF508;Media and communications;0.06853749603033066
49;Bilingualism and attentional processes in the age and language proficiency continuum (Biological Systems and Functions);RDF10;Natural sciences;0.6984396576881409;RDF106;Biological sciences;0.9948001503944397;RDF105;Earth and related environmental sciences;0.12636682391166687;RDF107;Other natural sciences;0.033844031393527985
50;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra;RDF20-21;Engineering and technology;0.8585502505302429;RDF212;Other engineering and technologies;0.9161096215248108;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9129080176353455;RDF202;Industrial, systems and processes engineering;0.9121626615524292
51;"""Domestic art galleries"" in Cuba, Russia, and China after 1989: a(n) (imagined) trans-socialist network (Fine Arts, Research-Creation)";RDF60;Humanities and the arts;0.5342366695404053;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9930693507194519;RDF605;Other humanities;0.16323378682136536;RDF601;History, archaeology and related studies;0.0004036925674881786
52;Advancing the understanding of fundamental principles of motor control (Biological Systems and Functions);RDF10;Natural sciences;0.7849521040916443;RDF106;Biological sciences;0.9916032552719116;RDF103;Physical sciences;0.14372768998146057;RDF107;Other natural sciences;0.10785961896181107
53;Impact Award: Insight;RDF30;Medical, health and life sciences;0.31693851947784424;RDF304;Medical biotechnology;0.4055370092391968;RDF301;Basic medicine and life sciences;0.07772741466760635;RDF305;Other medical sciences;0.05717658996582031
54;New Methods for the Stereoselective Synthesis of Organic Compounds (Chemistry);RDF10;Natural sciences;0.5788939595222473;RDF104;Chemical sciences;0.9997468590736389;RDF105;Earth and related environmental sciences;0.6886254549026489;RDF102;Computer and information sciences;0.28477486968040466
55;Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui (Fine Arts, Research-Creation);RDF50;Social sciences;0.38923701643943787;RDF508;Media and communications;0.5667380094528198;RDF504;Sociology and related studies;0.2112133800983429;RDF509;Other social sciences;0.030675802379846573
56;Environnement, médias, archives : une anatomie contemporaine de la mélancolie et de la nostalgie (Fine Arts, Research-Creation);RDF10;Natural sciences;0.3245733082294464;RDF105;Earth and related environmental sciences;0.9801672697067261;RDF107;Other natural sciences;0.03517797589302063;RDF103;Physical sciences;0.0017996543319895864
57;Multimode determination of gene transcription and metabolic labeling (Genes, Cells and Molecules);RDF10;Natural sciences;0.6533787250518799;RDF106;Biological sciences;0.9972099661827087;RDF107;Other natural sciences;0.2719520330429077;RDF102;Computer and information sciences;0.14051306247711182
58;SLAMF7 in innate immune cells and anti-cancer immunotherapy;RDF10;Natural sciences;0.8603532314300537;RDF106;Biological sciences;0.9558991193771362;RDF107;Other natural sciences;0.5433782339096069;RDF105;Earth and related environmental sciences;0.024353381246328354
59;À votre service : figures ambivalentes du care dans le Roman français de 1870 à 1945 (Literature);RDF30;Medical, health and life sciences;0.5986663699150085;RDF303;Health sciences;0.4418536126613617;RDF301;Basic medicine and life sciences;0.34317663311958313;RDF302;Clinical medicine;0.327964186668396
60;Using a point-of-care electrophysiological method to study the impact of neuro-sacral function on recovery after acute spinal cord injury;RDF30;Medical, health and life sciences;0.5414526462554932;RDF303;Health sciences;0.5752823352813721;RDF301;Basic medicine and life sciences;0.28118348121643066;RDF305;Other medical sciences;0.10452301800251007
61;Local intersectoral networks and institutional transformations: how can local actors promote social innovations? (Education);RDF50;Social sciences;0.5761668682098389;RDF503;Education;0.9981141090393066;RDF507;Social and economic geography;0.7798252701759338;RDF504;Sociology and related studies;0.7348694205284119
62;Plasma biomarkers of Alzheimer's disease in insomnia before and after cognitive behavioral therapy for insomnia;RDF30;Medical, health and life sciences;0.6769030690193176;RDF304;Medical biotechnology;0.8112277388572693;RDF303;Health sciences;0.6908528804779053;RDF301;Basic medicine and life sciences;0.4702804684638977
63;Developing algorithm aided fabrication methods for polyhedral structures (Civil, Industrial and Systems Engineering);RDF20-21;Engineering and technology;0.9056065082550049;RDF202;Industrial, systems and processes engineering;0.5141563415527344;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.09678046405315399;RDF211;Nano-technology;0.042166538536548615
64;SARS-CoV-2 Spike conformation: impact on Fc-mediated effector functions (Virology & Viral Pathogenesis);RDF30;Medical, health and life sciences;0.7339262962341309;RDF303;Health sciences;0.9457010626792908;RDF304;Medical biotechnology;0.7068864703178406;RDF305;Other medical sciences;0.2820972800254822
65;Questions in number theory (Mathematics and Statistics);RDF30;Medical, health and life sciences;0.5979771018028259;RDF304;Medical biotechnology;0.004442394711077213;RDF305;Other medical sciences;0.0005747862160205841;RDF303;Health sciences;0.00034196206252090633
66;The mammalian target of rapamycin provides the female rodent heart sex-dependent resistance to ischemic damage (Gender, Sex & Health);RDF30;Medical, health and life sciences;0.5411872267723083;RDF304;Medical biotechnology;0.9982350468635559;RDF303;Health sciences;0.953880250453949;RDF302;Clinical medicine;0.8542017936706543
67;The CAnadian Mother-ChIld COLlaborative Training Platform - The CAMCCO-L Training Platform (Health Research Training Platform);RDF30;Medical, health and life sciences;0.6116288900375366;RDF303;Health sciences;0.9224823713302612;RDF301;Basic medicine and life sciences;0.24104247987270355;RDF304;Medical biotechnology;0.06872475892305374
68;Life course body fatness and physical activity, and ovarian cancer etiology (Gender, Sex & Health);RDF30;Medical, health and life sciences;0.9169296026229858;RDF304;Medical biotechnology;0.9368361830711365;RDF303;Health sciences;0.9287326335906982;RDF301;Basic medicine and life sciences;0.7213016748428345
69;Modeling cue-triggered relapse to cocaine use in rats (Behavioural Sciences – Neurobiological Basis of Behavioural Processes);RDF30;Medical, health and life sciences;0.32678738236427307;RDF305;Other medical sciences;0.0015885253669694066;RDF304;Medical biotechnology;0.001396671636030078;RDF301;Basic medicine and life sciences;0.0007110568112693727
70;Exploring emotional underpinnings of audit work amidst the rise of the digital age;RDF30;Medical, health and life sciences;0.37534019351005554;RDF305;Other medical sciences;0.03058880753815174;RDF304;Medical biotechnology;0.011846236884593964;RDF301;Basic medicine and life sciences;0.004943689331412315
71;Moving towards culturally safe services for Indigenous people in forensic mental health: A Partnership Development Programme;RDF30;Medical, health and life sciences;0.5556448101997375;RDF303;Health sciences;0.2596965432167053;RDF305;Other medical sciences;0.2205522209405899;RDF304;Medical biotechnology;0.024469668045639992
72;Development of functional language brain networks: a multimodal neuroimaging approach (Physics);RDF10;Natural sciences;0.34618934988975525;RDF103;Physical sciences;0.9987256526947021;RDF102;Computer and information sciences;0.7215470671653748;RDF105;Earth and related environmental sciences;0.5377697348594666
73;Une deuxième peau à vif: vêtement, genre et violence dans la Bible hébraïque (Philosophy, medieval studies, classics, religious);RDF30;Medical, health and life sciences;0.21958160400390625;RDF301;Basic medicine and life sciences;0.0009290034067817032;RDF305;Other medical sciences;0.000666702282615006;RDF304;Medical biotechnology;0.0006602274952456355
74;Social Innovation through Participatory Art and Design with Youth at the Margins - Solutions for Engaging and Empowering Youth with Trans-Atlantic Mirroring (Social Innovation);RDF60;Humanities and the arts;0.8390851616859436;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9909096360206604;RDF605;Other humanities;0.6424044370651245;RDF603;Philosophy;0.010704094544053078
75;Assessment of renal function in adults born preterm: The HAPI-Kidney study (Clinical Investigation – Reproduction, Maternal, Child and Youth Health);RDF30;Medical, health and life sciences;0.7017667889595032;RDF303;Health sciences;0.7125073075294495;RDF304;Medical biotechnology;0.17016620934009552;RDF305;Other medical sciences;0.061367761343717575
76;Unveiling the Role of Cellular Aging in Postmenopausal Syndrome: Rationale for Senolytic-Based Strategies to Enhance Women's Health;RDF30;Medical, health and life sciences;0.7522802352905273;RDF303;Health sciences;0.986336886882782;RDF304;Medical biotechnology;0.8164429664611816;RDF301;Basic medicine and life sciences;0.4872083067893982
77;Optimizing the Ageing Brain? Situating Ethical Aspects of Dementia Prevention (BEAD);RDF30;Medical, health and life sciences;0.37670770287513733;RDF305;Other medical sciences;0.39245322346687317;RDF304;Medical biotechnology;0.3269493579864502;RDF301;Basic medicine and life sciences;0.23405632376670837
78;Multicommunicating during team meetings and its effect on team functioning;RDF50;Social sciences;0.43261584639549255;RDF501;Psychology and cognitive sciences;0.8200555443763733;RDF508;Media and communications;0.7664684653282166;RDF505;Law and legal practice;0.7074047327041626
79;Transitioning from late adolescence into emerging adulthood: The role of past and current parenting (Psychology);RDF50;Social sciences;0.3605155646800995;RDF501;Psychology and cognitive sciences;0.8027876019477844;RDF505;Law and legal practice;0.03864720091223717;RDF508;Media and communications;0.027040470391511917
80;Plateforme intégrée de caractérisation expérimentale/numérique pour la conception de matériaux poreux innovants (Mechanical Engineering);RDF20-21;Engineering and technology;0.8480545282363892;RDF204;Mechanical engineering;0.998595118522644;RDF202;Industrial, systems and processes engineering;0.7203190922737122;RDF211;Nano-technology;0.7023259401321411
81;How Peers in Healthcare Teams Transform Homelessness Prevention and Care Practices: A Participatory Multiple Case Study;RDF30;Medical, health and life sciences;0.44485870003700256;RDF303;Health sciences;0.9920002818107605;RDF305;Other medical sciences;0.2963741719722748;RDF302;Clinical medicine;0.21527855098247528
82;Online stochastic optimization for dynamic operations management systems (Civil, Industrial and Systems Engineering);RDF20-21;Engineering and technology;0.9108895063400269;RDF202;Industrial, systems and processes engineering;0.0693524181842804;RDF203;Electrical engineering, computer engineering, and information engineering;0.03167862445116043;RDF212;Other engineering and technologies;0.02995811402797699
83;Assessing latent-structure models in natural language processing with artificial datasets (Computer Science);RDF10;Natural sciences;0.9223668575286865;RDF102;Computer and information sciences;0.975623369216919;RDF105;Earth and related environmental sciences;0.04138471931219101;RDF107;Other natural sciences;0.025834187865257263
84;Electroactive Self-Assembled Monolayers: Putting Surface-Confined Redox Reactions to Work (Chemistry);RDF10;Natural sciences;0.36209720373153687;RDF104;Chemical sciences;0.9992748498916626;RDF105;Earth and related environmental sciences;0.6386099457740784;RDF103;Physical sciences;0.3156832158565521
85;Role of SCPPPQ1, a junctional epithelium protein, in maintaining periodontal integrity and health (Clinical Investigation – Arthritis, Bone, Skin and Cartilage);RDF30;Medical, health and life sciences;0.9164443612098694;RDF304;Medical biotechnology;0.9650862216949463;RDF303;Health sciences;0.9169687032699585;RDF301;Basic medicine and life sciences;0.5048826932907104
86;What dreams may come: How cinema shapes the language, experience, and images of dreaming (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.9933985471725464;RDF508;Media and communications;0.9983482956886292;RDF504;Sociology and related studies;0.4757270812988281;RDF509;Other social sciences;0.07941534370183945
87;Supramolecular strategies to target cellular membranes (Chemistry);RDF20-21;Engineering and technology;0.4972909986972809;RDF205;Chemical engineering;0.9903477430343628;RDF210;Industrial biotechnology;0.6306849122047424;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.5217148065567017
88;Geopolitics, bargaining, and firm selection along the Belt and Road;RDF50;Social sciences;0.3123839497566223;RDF507;Social and economic geography;0.5048826932907104;RDF506;Political science and policy administration;0.29476025700569153;RDF509;Other social sciences;0.04401864483952522
89;Role of neuron-glia interactions in sensori-motor integration in mastication (Movement & Exercise);RDF30;Medical, health and life sciences;0.425151526927948;RDF304;Medical biotechnology;0.8770561814308167;RDF301;Basic medicine and life sciences;0.4848679006099701;RDF305;Other medical sciences;0.41917234659194946
90;Dual-Energy Cone-Beam CT as an online quantitative imaging modality for adaptive radiotherapy (Physics);RDF20-21;Engineering and technology;0.4250771403312683;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.8586037158966064;RDF202;Industrial, systems and processes engineering;0.5630776286125183;RDF212;Other engineering and technologies;0.5538672804832458
91;"Le ""patient expert"": enjeux épistémiques et normatifs (Philosophy, medieval studies, classics, religious)";RDF30;Medical, health and life sciences;0.8674041032791138;RDF303;Health sciences;0.23828421533107758;RDF305;Other medical sciences;0.20465964078903198;RDF301;Basic medicine and life sciences;0.19524860382080078
92;Les données numériques en santé: peut-on bâtir la confiance;RDF30;Medical, health and life sciences;0.6191176176071167;RDF303;Health sciences;0.9995187520980835;RDF304;Medical biotechnology;0.7139679193496704;RDF302;Clinical medicine;0.5685056447982788
93;Role of ARF1 as a key GTPAse regulating immune surveillance in breast cancer;RDF30;Medical, health and life sciences;0.25075653195381165;RDF304;Medical biotechnology;0.8936347365379333;RDF303;Health sciences;0.6155847311019897;RDF301;Basic medicine and life sciences;0.4210160970687866
94;Critical Replacement of Thermogravimetric Analyzer to Leverage Materials Discovery and Innovation (Chemistry);RDF20-21;Engineering and technology;0.44560182094573975;RDF205;Chemical engineering;0.9917803406715393;RDF211;Nano-technology;0.6334102749824524;RDF202;Industrial, systems and processes engineering;0.5549529194831848
95;Partnering with Canadian Youth to Co-Design a Toolkit to Support Youth who Experience Climate-Related Distress;RDF50;Social sciences;0.4404030740261078;RDF503;Education;0.905781626701355;RDF505;Law and legal practice;0.8760656118392944;RDF501;Psychology and cognitive sciences;0.4659227728843689
96;Family Acculturation: Identity, Legitimacy, and the Marketplace;RDF50;Social sciences;0.47138720750808716;RDF505;Law and legal practice;0.371863454580307;RDF501;Psychology and cognitive sciences;0.3303631544113159;RDF507;Social and economic geography;0.157817080616951
97;Low-Resource Text Understanding (Computer Science);RDF20-21;Engineering and technology;0.321196585893631;RDF211;Nano-technology;0.26912596821784973;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.18490459024906158;RDF203;Electrical engineering, computer engineering, and information engineering;0.10655106604099274
