;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
10;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé (Études autochtones);RDF30;Medical, health and life sciences;0.4551680088043213;RDF50;Social sciences;0.39855843782424927;RDF10;Natural sciences;0.06355569511651993;RDF60;Humanities and the arts;0.036212947219610214;RDF20-21;Engineering and technology;0.03349149972200394;RDF40;Agricultural and veterinary sciences;0.013013394549489021
11;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie (Sciences sociales multi- ou interdisciplinaires);RDF50;Social sciences;0.9884937405586243;RDF60;Humanities and the arts;0.004506664350628853;RDF20-21;Engineering and technology;0.003097382141277194;RDF30;Medical, health and life sciences;0.001737473881803453;RDF10;Natural sciences;0.0012911808444187045;RDF40;Agricultural and veterinary sciences;0.0008736567106097937
12;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra (nan);RDF60;Humanities and the arts;0.8386408090591431;RDF20-21;Engineering and technology;0.15332558751106262;RDF10;Natural sciences;0.003591814311221242;RDF50;Social sciences;0.0031206225976347923;RDF30;Medical, health and life sciences;0.0007528851856477559;RDF40;Agricultural and veterinary sciences;0.0005683075287379324
13;Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui (Beaux-arts, recherche-création);RDF60;Humanities and the arts;0.9225459694862366;RDF20-21;Engineering and technology;0.03990542143583298;RDF50;Social sciences;0.028297184035182;RDF10;Natural sciences;0.0041407928802073;RDF30;Medical, health and life sciences;0.004013394005596638;RDF40;Agricultural and veterinary sciences;0.0010972009040415287
14;Environnement, médias, archives : une anatomie contemporaine de la mélancolie et de la nostalgie (Beaux-arts, recherche-création);RDF60;Humanities and the arts;0.9435603618621826;RDF50;Social sciences;0.0172819122672081;RDF20-21;Engineering and technology;0.01675020158290863;RDF30;Medical, health and life sciences;0.011693526059389114;RDF10;Natural sciences;0.009250340051949024;RDF40;Agricultural and veterinary sciences;0.0014636164996773005
15;À votre service : figures ambivalentes du care dans le Roman français de 1870 à 1945 (Études littéraires);RDF60;Humanities and the arts;0.4405117332935333;RDF30;Medical, health and life sciences;0.28664645552635193;RDF50;Social sciences;0.2549486458301544;RDF10;Natural sciences;0.008521774783730507;RDF20-21;Engineering and technology;0.00633284542709589;RDF40;Agricultural and veterinary sciences;0.0030385323334485292
16;Une deuxième peau à vif: vêtement, genre et violence dans la Bible hébraïque (Philosophie, études classiques, religieuses et médiévales);RDF60;Humanities and the arts;0.9637032151222229;RDF50;Social sciences;0.016711480915546417;RDF10;Natural sciences;0.0071875182911753654;RDF30;Medical, health and life sciences;0.006544309668242931;RDF20-21;Engineering and technology;0.0037288351450115442;RDF40;Agricultural and veterinary sciences;0.002124626189470291
17;Plateforme intégrée de caractérisation expérimentale/numérique pour la conception de matériaux poreux innovants (Génie mécanique);RDF20-21;Engineering and technology;0.9578066468238831;RDF10;Natural sciences;0.01809971034526825;RDF50;Social sciences;0.008286651223897934;RDF30;Medical, health and life sciences;0.007087948732078075;RDF40;Agricultural and veterinary sciences;0.006453650537878275;RDF60;Humanities and the arts;0.0022654442582279444
18;"Le ""patient expert"": enjeux épistémiques et normatifs (Philosophie, études classiques, religieuses et médiévales)";RDF30;Medical, health and life sciences;0.6960810422897339;RDF60;Humanities and the arts;0.26010647416114807;RDF50;Social sciences;0.027630040422081947;RDF10;Natural sciences;0.009474377147853374;RDF20-21;Engineering and technology;0.005232248455286026;RDF40;Agricultural and veterinary sciences;0.0014758233446627855
19;Les données numériques en santé: peut-on bâtir la confiance (nan);RDF30;Medical, health and life sciences;0.42910036444664;RDF50;Social sciences;0.22789348661899567;RDF20-21;Engineering and technology;0.2107670158147812;RDF10;Natural sciences;0.1278366595506668;RDF40;Agricultural and veterinary sciences;0.0022871713154017925;RDF60;Humanities and the arts;0.002115287585183978
20;Privilège des minoritaires et inégalités épistémiques: une perspective féministe et décoloniale sur la reconnaissance des savoirs expérientiels dans la lutte contre la pauvreté au Québec et en Belgique francophone (Sociologie, démographie et domaines connexes);RDF50;Social sciences;0.9030311107635498;RDF60;Humanities and the arts;0.0649062842130661;RDF10;Natural sciences;0.02157169207930565;RDF40;Agricultural and veterinary sciences;0.004775837995111942;RDF20-21;Engineering and technology;0.003494077827781439;RDF30;Medical, health and life sciences;0.0022209708113223314
21;L'esthétique moyenne ou la coupe régulière (Sociologie, démographie et domaines connexes);RDF50;Social sciences;0.9485390186309814;RDF20-21;Engineering and technology;0.025675775483250618;RDF30;Medical, health and life sciences;0.008735742419958115;RDF10;Natural sciences;0.008206470869481564;RDF60;Humanities and the arts;0.006491852458566427;RDF40;Agricultural and veterinary sciences;0.0023511932231485844
