;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
10;The effects of neuropsychiatric CNVs on the integrity of brain structure and connectivity;RDF30;Medical, health and life sciences;0.215116515755653;RDF50;Social sciences;0.206987679004669;RDF10;Natural sciences;0.183228433132172;RDF60;Humanities and the arts;0.152411907911301;RDF20-21;Engineering and technology;0.130873575806618;RDF40;Agricultural and veterinary sciences;0.111382022500038
11;Global Centers Track 2: Heat Adaptation;RDF10;Natural sciences;0.215465784072876;RDF50;Social sciences;0.1950753480196;RDF30;Medical, health and life sciences;0.189489707350731;RDF20-21;Engineering and technology;0.160688489675522;RDF40;Agricultural and veterinary sciences;0.135067403316498;RDF60;Humanities and the arts;0.104213207960129
12;Getting on track for the audit of tomorrow: Auditors' expertise amidst digitalization;RDF20-21;Engineering and technology;0.217404067516327;RDF30;Medical, health and life sciences;0.196647927165031;RDF10;Natural sciences;0.165031254291534;RDF50;Social sciences;0.162900358438492;RDF60;Humanities and the arts;0.13445420563221;RDF40;Agricultural and veterinary sciences;0.123562224209309
13;Decision awareness in learning for control;RDF50;Social sciences;0.218754962086678;RDF30;Medical, health and life sciences;0.196353316307068;RDF10;Natural sciences;0.160163372755051;RDF60;Humanities and the arts;0.150401711463928;RDF20-21;Engineering and technology;0.141835406422615;RDF40;Agricultural and veterinary sciences;0.132491260766983
14;Agreeing to Disagree: Incentives and Innovation in Dynamic Settings;RDF50;Social sciences;0.220156654715538;RDF30;Medical, health and life sciences;0.210029676556587;RDF20-21;Engineering and technology;0.178722053766251;RDF60;Humanities and the arts;0.152333006262779;RDF40;Agricultural and veterinary sciences;0.12525762617588;RDF10;Natural sciences;0.113501012325287
15;Kushpitau ! (montons en territoire);RDF60;Humanities and the arts;0.221713334321976;RDF20-21;Engineering and technology;0.193269744515419;RDF10;Natural sciences;0.179013505578041;RDF30;Medical, health and life sciences;0.169330239295959;RDF40;Agricultural and veterinary sciences;0.135625153779984;RDF50;Social sciences;0.101047985255718
16;Intracellular transport of proteins containing di-arginine endoplasmic reticulum-retention motifs;RDF10;Natural sciences;0.221940010786057;RDF30;Medical, health and life sciences;0.215693041682243;RDF20-21;Engineering and technology;0.212618425488472;RDF60;Humanities and the arts;0.141422510147095;RDF50;Social sciences;0.122504986822605;RDF40;Agricultural and veterinary sciences;0.0858209431171417
17;The effects of COVID-19 pandemics in sustainability controversies: new shades of green in the battery metals industry in Quebec;RDF20-21;Engineering and technology;0.222936764359474;RDF10;Natural sciences;0.217606768012047;RDF50;Social sciences;0.19017206132412;RDF30;Medical, health and life sciences;0.151663362979889;RDF40;Agricultural and veterinary sciences;0.125653237104416;RDF60;Humanities and the arts;0.0919678211212158
18;Quantum theory and applications;RDF20-21;Engineering and technology;0.22331266105175;RDF30;Medical, health and life sciences;0.179788082838058;RDF10;Natural sciences;0.175269961357117;RDF50;Social sciences;0.148373767733574;RDF40;Agricultural and veterinary sciences;0.140040770173073;RDF60;Humanities and the arts;0.133214712142944
19;The impact of amyloid-induced neurodegeneration on sleep features and memory processes;RDF30;Medical, health and life sciences;0.224962443113327;RDF50;Social sciences;0.215162768959999;RDF10;Natural sciences;0.207887083292007;RDF60;Humanities and the arts;0.145381584763527;RDF20-21;Engineering and technology;0.113259419798851;RDF40;Agricultural and veterinary sciences;0.0933466851711273
20;CONTACT BY SEA: : Basques et Autochtones dans le golfe Saint-Laurent, XVIe-XVIIIe siècle;RDF60;Humanities and the arts;0.225006446242332;RDF50;Social sciences;0.215514719486237;RDF10;Natural sciences;0.195435956120491;RDF40;Agricultural and veterinary sciences;0.128172904253006;RDF30;Medical, health and life sciences;0.123040229082108;RDF20-21;Engineering and technology;0.112829700112343
21;Learning sensorimotor maps through curiosity;RDF10;Natural sciences;0.225043818354607;RDF30;Medical, health and life sciences;0.220975965261459;RDF20-21;Engineering and technology;0.15312734246254;RDF50;Social sciences;0.150305330753326;RDF60;Humanities and the arts;0.144333362579346;RDF40;Agricultural and veterinary sciences;0.106214255094528
22;Boosting the Productivity of a Graying Workforce;RDF20-21;Engineering and technology;0.225403070449829;RDF50;Social sciences;0.221204802393913;RDF30;Medical, health and life sciences;0.173792138695717;RDF10;Natural sciences;0.146934524178505;RDF60;Humanities and the arts;0.131926506757736;RDF40;Agricultural and veterinary sciences;0.100738927721977
23;Low-Resource Text Understanding;RDF30;Medical, health and life sciences;0.225651443004608;RDF10;Natural sciences;0.181006997823715;RDF50;Social sciences;0.16466049849987;RDF20-21;Engineering and technology;0.149057954549789;RDF40;Agricultural and veterinary sciences;0.140576913952827;RDF60;Humanities and the arts;0.139046311378479
24;Defining interrelationships between brain region-specific structural plasticity and sleep electrophysiology via the integration of sex and learning;RDF50;Social sciences;0.22599296271801;RDF30;Medical, health and life sciences;0.201071172952652;RDF10;Natural sciences;0.192362427711487;RDF20-21;Engineering and technology;0.16020704805851;RDF60;Humanities and the arts;0.118771411478519;RDF40;Agricultural and veterinary sciences;0.101594991981983
25;Une deuxième peau à vif: vêtement, genre et violence dans la Bible hébraïque;RDF40;Agricultural and veterinary sciences;0.227265954017639;RDF30;Medical, health and life sciences;0.19651298224926;RDF60;Humanities and the arts;0.155235007405281;RDF10;Natural sciences;0.154599547386169;RDF50;Social sciences;0.154434308409691;RDF20-21;Engineering and technology;0.111952185630798
26;In Democracy we trust, do we?;RDF60;Humanities and the arts;0.227631539106369;RDF30;Medical, health and life sciences;0.215030282735825;RDF50;Social sciences;0.190774664282799;RDF10;Natural sciences;0.12748709321022;RDF40;Agricultural and veterinary sciences;0.127369582653046;RDF20-21;Engineering and technology;0.111706778407097
27;Interdisciplinary studies of decision-making and motor planning;RDF50;Social sciences;0.229946494102478;RDF20-21;Engineering and technology;0.22469100356102;RDF30;Medical, health and life sciences;0.167731732130051;RDF60;Humanities and the arts;0.142360895872116;RDF10;Natural sciences;0.141143694519997;RDF40;Agricultural and veterinary sciences;0.0941262468695641
28;Attentional processes in the human insula;RDF30;Medical, health and life sciences;0.232074841856956;RDF60;Humanities and the arts;0.214954361319542;RDF50;Social sciences;0.208893045783043;RDF10;Natural sciences;0.171780601143837;RDF40;Agricultural and veterinary sciences;0.0942868739366531;RDF20-21;Engineering and technology;0.0780102461576462
29;Mentalisation parentale non verbale sous la loupe : Valeur ajoutée à la relation parent-enfant et complémentarité avec la mentalisation parentale verbale;RDF50;Social sciences;0.234665811061859;RDF30;Medical, health and life sciences;0.196965202689171;RDF60;Humanities and the arts;0.183886364102364;RDF20-21;Engineering and technology;0.141871407628059;RDF10;Natural sciences;0.135282948613167;RDF40;Agricultural and veterinary sciences;0.107328318059444
30;Voters' Identities in their Own Words;RDF60;Humanities and the arts;0.235150545835495;RDF50;Social sciences;0.202065408229828;RDF30;Medical, health and life sciences;0.185308128595352;RDF40;Agricultural and veterinary sciences;0.145226508378983;RDF10;Natural sciences;0.135527446866035;RDF20-21;Engineering and technology;0.0967219695448875
31;Inter-individual variability in cognitive aging: Neural mechanisms, reserve processes and malleability of neuroprotective processes;RDF10;Natural sciences;0.235342293977737;RDF50;Social sciences;0.213761955499649;RDF30;Medical, health and life sciences;0.201263815164566;RDF60;Humanities and the arts;0.133059069514275;RDF20-21;Engineering and technology;0.132500991225243;RDF40;Agricultural and veterinary sciences;0.0840718671679497
32;Mieux comprendre les défis et conditions de pratiques des parents d'accueil dans le contexte actuel de professionnalisation de l'accueil familial;RDF50;Social sciences;0.23561355471611;RDF60;Humanities and the arts;0.198682770133019;RDF30;Medical, health and life sciences;0.174139633774757;RDF40;Agricultural and veterinary sciences;0.169544100761414;RDF10;Natural sciences;0.124626062810421;RDF20-21;Engineering and technology;0.0973938852548599
33;Harnessing Twitter for morphophonological variation;RDF50;Social sciences;0.236095175147057;RDF10;Natural sciences;0.204353511333466;RDF60;Humanities and the arts;0.165400102734566;RDF20-21;Engineering and technology;0.156912326812744;RDF30;Medical, health and life sciences;0.146712526679039;RDF40;Agricultural and veterinary sciences;0.0905263498425484
34;Participation jeunesse Autochtone dans la prise de décision en milieu scolaire;RDF60;Humanities and the arts;0.236121281981468;RDF20-21;Engineering and technology;0.216822490096092;RDF30;Medical, health and life sciences;0.176941022276878;RDF50;Social sciences;0.160117596387863;RDF10;Natural sciences;0.106181137263775;RDF40;Agricultural and veterinary sciences;0.10381643474102
35;Marking Monastic Space: The Spatial Iconography of Inscribed Capitals, 1080-1160;RDF60;Humanities and the arts;0.236227318644524;RDF50;Social sciences;0.231733620166779;RDF10;Natural sciences;0.203317239880562;RDF20-21;Engineering and technology;0.121990606188774;RDF40;Agricultural and veterinary sciences;0.108989857137203;RDF30;Medical, health and life sciences;0.0977413430809975
36;The use of facial information from developmental prosopagnosics to super-recognizers;RDF20-21;Engineering and technology;0.237622916698456;RDF30;Medical, health and life sciences;0.229611188173294;RDF50;Social sciences;0.203071445226669;RDF10;Natural sciences;0.175602212548256;RDF60;Humanities and the arts;0.0956654399633408;RDF40;Agricultural and veterinary sciences;0.0584268495440483
37;Maintaining balance in an unstable environment: A central role for the vestibular system;RDF30;Medical, health and life sciences;0.239048615098;RDF10;Natural sciences;0.232664316892624;RDF20-21;Engineering and technology;0.171757459640503;RDF50;Social sciences;0.144960626959801;RDF60;Humanities and the arts;0.108972430229187;RDF40;Agricultural and veterinary sciences;0.102596499025822
38;Sommeil après une commotion cérébrale : impact sur le bien-être et le fonctionnement familial;RDF30;Medical, health and life sciences;0.239271491765976;RDF50;Social sciences;0.196552574634552;RDF60;Humanities and the arts;0.191199764609337;RDF40;Agricultural and veterinary sciences;0.14256863296032;RDF10;Natural sciences;0.132685929536819;RDF20-21;Engineering and technology;0.0977215692400932
39;Eigenvectors of Random Matrices;RDF10;Natural sciences;0.239547044038773;RDF30;Medical, health and life sciences;0.190822809934616;RDF20-21;Engineering and technology;0.160846531391144;RDF50;Social sciences;0.151849687099457;RDF60;Humanities and the arts;0.142052009701729;RDF40;Agricultural and veterinary sciences;0.114881984889507
40;Developing frameworks for climate positive design: Case Study of extraction and processing industries in Nova Scotia and Quebec;RDF20-21;Engineering and technology;0.240797832608223;RDF10;Natural sciences;0.240776747465134;RDF50;Social sciences;0.223986282944679;RDF40;Agricultural and veterinary sciences;0.122692309319973;RDF60;Humanities and the arts;0.100313007831573;RDF30;Medical, health and life sciences;0.0714338645339012
41;Projet 'Parité sciences';RDF50;Social sciences;0.24123814702034;RDF30;Medical, health and life sciences;0.240941777825356;RDF10;Natural sciences;0.180560797452927;RDF20-21;Engineering and technology;0.13187238574028;RDF60;Humanities and the arts;0.121166348457336;RDF40;Agricultural and veterinary sciences;0.0842205360531807
42;Dependence Modelling for Arbitrary Distributions;RDF50;Social sciences;0.242398679256439;RDF20-21;Engineering and technology;0.227711349725723;RDF30;Medical, health and life sciences;0.170712441205978;RDF10;Natural sciences;0.161425650119782;RDF40;Agricultural and veterinary sciences;0.106492698192596;RDF60;Humanities and the arts;0.0912591740489006
43;After-images and urban spaces: lesbian, gay and queer visible presence in Montreal (1950-1990);RDF50;Social sciences;0.242895558476448;RDF60;Humanities and the arts;0.193480789661407;RDF20-21;Engineering and technology;0.158784940838814;RDF10;Natural sciences;0.154664814472199;RDF30;Medical, health and life sciences;0.140373721718788;RDF40;Agricultural and veterinary sciences;0.109800145030022
44;From domain-specific languages to domain-specific environments;RDF20-21;Engineering and technology;0.243162155151367;RDF30;Medical, health and life sciences;0.186892747879028;RDF10;Natural sciences;0.184795022010803;RDF50;Social sciences;0.157339692115784;RDF60;Humanities and the arts;0.118062384426594;RDF40;Agricultural and veterinary sciences;0.109747968614101
45;Incorporating rich micro-level distributions and dynamics in models with heterogenous firms: method, lessons and applications;RDF50;Social sciences;0.243446826934814;RDF20-21;Engineering and technology;0.220381423830986;RDF10;Natural sciences;0.202880874276161;RDF30;Medical, health and life sciences;0.142320960760117;RDF40;Agricultural and veterinary sciences;0.107355713844299;RDF60;Humanities and the arts;0.0836141332983971
46;Staufen2 and DNA damage;RDF10;Natural sciences;0.243603199720383;RDF30;Medical, health and life sciences;0.239598274230957;RDF50;Social sciences;0.148745864629745;RDF60;Humanities and the arts;0.148321375250816;RDF40;Agricultural and veterinary sciences;0.122454732656479;RDF20-21;Engineering and technology;0.0972765162587166
47;Second-order Hessian-free methods for statistical learning and stochastic optimization;RDF50;Social sciences;0.243865266442299;RDF10;Natural sciences;0.223940208554268;RDF30;Medical, health and life sciences;0.147991329431534;RDF20-21;Engineering and technology;0.145496413111687;RDF60;Humanities and the arts;0.142539650201797;RDF40;Agricultural and veterinary sciences;0.0961670875549316
48;Data-adaptive causal inference methods for effect modification;RDF20-21;Engineering and technology;0.243969708681107;RDF50;Social sciences;0.202560573816299;RDF30;Medical, health and life sciences;0.197094962000847;RDF10;Natural sciences;0.164464503526688;RDF60;Humanities and the arts;0.104059964418411;RDF40;Agricultural and veterinary sciences;0.0878503322601318
49;Ecosystemic thinking: integrating ecosystem assessment to the strategic thinking process;RDF20-21;Engineering and technology;0.244112610816956;RDF10;Natural sciences;0.223504468798637;RDF30;Medical, health and life sciences;0.169862166047096;RDF50;Social sciences;0.155301868915558;RDF40;Agricultural and veterinary sciences;0.104429960250854;RDF60;Humanities and the arts;0.102788917720318
50;An optimization framework for comparative, multi-species studies of visual systems;RDF60;Humanities and the arts;0.244979679584503;RDF10;Natural sciences;0.222301155328751;RDF20-21;Engineering and technology;0.206388205289841;RDF50;Social sciences;0.174374923110008;RDF40;Agricultural and veterinary sciences;0.0798743888735771;RDF30;Medical, health and life sciences;0.0720817148685455
51;Étude sur l'apport de l'expérience de l'émotion de la tristesse vécue et exprimée par des enfants endeuillés face à la réalité du processus de deuil tel que vécu au Québec;RDF50;Social sciences;0.245020434260368;RDF60;Humanities and the arts;0.172647312283516;RDF10;Natural sciences;0.170742526650429;RDF20-21;Engineering and technology;0.162965074181557;RDF40;Agricultural and veterinary sciences;0.126284345984459;RDF30;Medical, health and life sciences;0.122340314090252
52;Idea vitality and group idea elaboration;RDF60;Humanities and the arts;0.245611473917961;RDF50;Social sciences;0.206455707550049;RDF30;Medical, health and life sciences;0.174003943800926;RDF20-21;Engineering and technology;0.145265057682991;RDF10;Natural sciences;0.126254707574844;RDF40;Agricultural and veterinary sciences;0.102409139275551
53;Bilingualism and attentional processes in the age and language proficiency continuum;RDF50;Social sciences;0.245656862854958;RDF30;Medical, health and life sciences;0.197257325053215;RDF60;Humanities and the arts;0.191818699240685;RDF10;Natural sciences;0.140723809599876;RDF40;Agricultural and veterinary sciences;0.118349313735962;RDF20-21;Engineering and technology;0.106194019317627
54;Pays perdus, terres promises : deux imaginaires du territoire de l'Antiquité à nos jours;RDF60;Humanities and the arts;0.246428921818733;RDF10;Natural sciences;0.230747029185295;RDF50;Social sciences;0.177505448460579;RDF40;Agricultural and veterinary sciences;0.141493290662766;RDF30;Medical, health and life sciences;0.131227448582649;RDF20-21;Engineering and technology;0.0725978761911392
55;Humanitarian Supply Chain Design and Management;RDF20-21;Engineering and technology;0.24666103720665;RDF30;Medical, health and life sciences;0.235843867063522;RDF50;Social sciences;0.175755321979523;RDF10;Natural sciences;0.124595619738102;RDF40;Agricultural and veterinary sciences;0.109269842505455;RDF60;Humanities and the arts;0.107874363660812
56;Geopolitics, bargaining, and firm selection along the Belt and Road;RDF50;Social sciences;0.246878445148468;RDF10;Natural sciences;0.177363574504852;RDF20-21;Engineering and technology;0.168441191315651;RDF60;Humanities and the arts;0.139383599162102;RDF40;Agricultural and veterinary sciences;0.136359542608261;RDF30;Medical, health and life sciences;0.131573632359505
57;The Climate Crisis and the Future of Work;RDF50;Social sciences;0.247635573148727;RDF10;Natural sciences;0.197692960500717;RDF20-21;Engineering and technology;0.170331448316574;RDF30;Medical, health and life sciences;0.129089683294296;RDF40;Agricultural and veterinary sciences;0.128797084093094;RDF60;Humanities and the arts;0.126453310251236
58;Pathways for the digital economy: Adolescent digital literacies and InstaPoetry;RDF20-21;Engineering and technology;0.247790887951851;RDF60;Humanities and the arts;0.239866331219673;RDF50;Social sciences;0.223200723528862;RDF10;Natural sciences;0.113190270960331;RDF30;Medical, health and life sciences;0.0963351204991341;RDF40;Agricultural and veterinary sciences;0.0796167105436325
59;Impact Award: Insight;RDF60;Humanities and the arts;0.248096033930779;RDF30;Medical, health and life sciences;0.203943446278572;RDF20-21;Engineering and technology;0.16238722205162;RDF50;Social sciences;0.156579419970512;RDF10;Natural sciences;0.131142675876617;RDF40;Agricultural and veterinary sciences;0.0978512018918991
60;Bringing nutrition to life among vulnerable populations: experiences from Latin America and Canada;RDF50;Social sciences;0.248133093118668;RDF30;Medical, health and life sciences;0.226775333285332;RDF10;Natural sciences;0.197054266929626;RDF40;Agricultural and veterinary sciences;0.175187349319458;RDF20-21;Engineering and technology;0.08475761115551;RDF60;Humanities and the arts;0.0680923014879227
61;Réponse différentielle à l'évaluation formelle en protection de la jeunesse en contexte de diversité ethnoculturelle: portrait de la situation et perspectives des familles et des intervenants;RDF50;Social sciences;0.248706683516502;RDF60;Humanities and the arts;0.18925316631794;RDF30;Medical, health and life sciences;0.163582101464272;RDF40;Agricultural and veterinary sciences;0.140272080898285;RDF20-21;Engineering and technology;0.132062807679176;RDF10;Natural sciences;0.126123175024986
62;Conférence de l'International Society for the Study of Drug Policy;RDF50;Social sciences;0.249276056885719;RDF10;Natural sciences;0.175315842032433;RDF30;Medical, health and life sciences;0.158169716596603;RDF40;Agricultural and veterinary sciences;0.150184392929077;RDF60;Humanities and the arts;0.135179251432419;RDF20-21;Engineering and technology;0.131874740123749
63;Interactions between attention, perception and reaching movements;RDF50;Social sciences;0.24987106025219;RDF60;Humanities and the arts;0.224831834435463;RDF10;Natural sciences;0.177552089095116;RDF30;Medical, health and life sciences;0.177415922284126;RDF40;Agricultural and veterinary sciences;0.0952996462583542;RDF20-21;Engineering and technology;0.0750295072793961
64;Soutenir la Professionnalisation dans les ORganismes sporTifs (SPORT);RDF60;Humanities and the arts;0.250475376844406;RDF40;Agricultural and veterinary sciences;0.215088114142418;RDF10;Natural sciences;0.17075851559639;RDF30;Medical, health and life sciences;0.152868270874023;RDF20-21;Engineering and technology;0.143739730119705;RDF50;Social sciences;0.0670699998736382
65;Entrepreneuring as Relational Process: Tracing the Trajectories of Entrepreneurial Projects;RDF50;Social sciences;0.251847267150879;RDF20-21;Engineering and technology;0.212148979306221;RDF30;Medical, health and life sciences;0.162163808941841;RDF60;Humanities and the arts;0.151112616062164;RDF10;Natural sciences;0.133678331971169;RDF40;Agricultural and veterinary sciences;0.0890489295125008
66;Investment incentives in matching markets: on the foundations of competitive models;RDF50;Social sciences;0.252071887254715;RDF30;Medical, health and life sciences;0.209738478064537;RDF20-21;Engineering and technology;0.182256579399109;RDF40;Agricultural and veterinary sciences;0.134818971157074;RDF10;Natural sciences;0.129221633076668;RDF60;Humanities and the arts;0.0918923616409302
67;From Perception and Learning to Understanding and Action;RDF50;Social sciences;0.252589136362076;RDF10;Natural sciences;0.198002606630325;RDF30;Medical, health and life sciences;0.190105557441711;RDF60;Humanities and the arts;0.177710443735123;RDF40;Agricultural and veterinary sciences;0.100472919642925;RDF20-21;Engineering and technology;0.0811193361878395
68;Exploring emotional underpinnings of audit work amidst the rise of the digital age;RDF50;Social sciences;0.252891093492508;RDF20-21;Engineering and technology;0.199086144566536;RDF60;Humanities and the arts;0.190869152545929;RDF10;Natural sciences;0.150858297944069;RDF30;Medical, health and life sciences;0.115346565842628;RDF40;Agricultural and veterinary sciences;0.0909487456083298
69;Representation Learning for Lifelong Learning;RDF30;Medical, health and life sciences;0.253516972064972;RDF60;Humanities and the arts;0.189064636826515;RDF20-21;Engineering and technology;0.15098811686039;RDF50;Social sciences;0.137827038764954;RDF40;Agricultural and veterinary sciences;0.136515483260155;RDF10;Natural sciences;0.132087707519531
70;How does the interplay between mandatory and voluntary regulation shape industry practice change for the better?;RDF30;Medical, health and life sciences;0.253631293773651;RDF40;Agricultural and veterinary sciences;0.195455178618431;RDF50;Social sciences;0.173308417201042;RDF20-21;Engineering and technology;0.159053340554237;RDF10;Natural sciences;0.144251242280006;RDF60;Humanities and the arts;0.0743004530668259
71;Planning and developing Canadian intersectoral partnerships and knowledge sharing for sustainable LD risk mitigation in peri-domestic high-risk areas;RDF30;Medical, health and life sciences;0.254749715328217;RDF40;Agricultural and veterinary sciences;0.204825580120087;RDF20-21;Engineering and technology;0.166252821683884;RDF50;Social sciences;0.154151618480682;RDF10;Natural sciences;0.139952600002289;RDF60;Humanities and the arts;0.0800676792860031
72;Expectation Formation, Excess Currency Returns, and Foreign Exchange Interventions;RDF50;Social sciences;0.255402773618698;RDF10;Natural sciences;0.172974064946175;RDF20-21;Engineering and technology;0.15704970061779;RDF60;Humanities and the arts;0.151471510529518;RDF40;Agricultural and veterinary sciences;0.133659824728966;RDF30;Medical, health and life sciences;0.12944208085537
73;Difficultés psychosociales, scolaires et milieux de vie différentiels d'enfants issus de la diversité ethnoculturelle recevant, ou non, des services de protection de la jeunesse;RDF60;Humanities and the arts;0.255569458007813;RDF50;Social sciences;0.231186091899872;RDF30;Medical, health and life sciences;0.181137666106224;RDF40;Agricultural and veterinary sciences;0.145903140306473;RDF10;Natural sciences;0.118147291243076;RDF20-21;Engineering and technology;0.0680563747882843
74;Language Acquisition and Processing in Teen and Adult L1 and L2;RDF50;Social sciences;0.25605496764183;RDF30;Medical, health and life sciences;0.179367676377296;RDF60;Humanities and the arts;0.177803754806519;RDF10;Natural sciences;0.142837390303612;RDF40;Agricultural and veterinary sciences;0.136315688490868;RDF20-21;Engineering and technology;0.107620477676392
75;Environmental Footprint of Mutual Funds and Pension Plans;RDF10;Natural sciences;0.256664723157883;RDF50;Social sciences;0.218060463666916;RDF20-21;Engineering and technology;0.139972895383835;RDF30;Medical, health and life sciences;0.139671310782433;RDF40;Agricultural and veterinary sciences;0.134788438677788;RDF60;Humanities and the arts;0.110842175781727
76;Crime in the Decentralized Finance Industry;RDF50;Social sciences;0.257975876331329;RDF10;Natural sciences;0.18185205757618;RDF20-21;Engineering and technology;0.158520430326462;RDF60;Humanities and the arts;0.151131644845009;RDF40;Agricultural and veterinary sciences;0.13999043405056;RDF30;Medical, health and life sciences;0.110529564321041
77;The impact of biological sex on the brain language network;RDF10;Natural sciences;0.259203225374222;RDF30;Medical, health and life sciences;0.226544231176376;RDF50;Social sciences;0.183890044689178;RDF60;Humanities and the arts;0.123650945723057;RDF20-21;Engineering and technology;0.115291848778725;RDF40;Agricultural and veterinary sciences;0.0914196521043778
78;Highly Entangled Quantum Matter;RDF10;Natural sciences;0.259310305118561;RDF30;Medical, health and life sciences;0.199718087911606;RDF20-21;Engineering and technology;0.176621407270432;RDF50;Social sciences;0.149444013834;RDF60;Humanities and the arts;0.13685642182827;RDF40;Agricultural and veterinary sciences;0.0780498087406158
79;Optimal Climate Policy Mix for Canada: Insights from a Multi-Model Approach;RDF10;Natural sciences;0.25996470451355;RDF50;Social sciences;0.234414860606194;RDF20-21;Engineering and technology;0.191652357578278;RDF40;Agricultural and veterinary sciences;0.13985250890255;RDF30;Medical, health and life sciences;0.0912049859762192;RDF60;Humanities and the arts;0.0829105973243713
80;Privatization, innovation and idiosyncratic volatility: The role of ownership structure and information content;RDF20-21;Engineering and technology;0.260131239891052;RDF50;Social sciences;0.220659330487251;RDF30;Medical, health and life sciences;0.181405588984489;RDF10;Natural sciences;0.12377405911684;RDF40;Agricultural and veterinary sciences;0.114431150257587;RDF60;Humanities and the arts;0.0995986089110375
81;Stochastic Discount Factors, Risk Factors and Performance Evaluation;RDF30;Medical, health and life sciences;0.260314881801605;RDF20-21;Engineering and technology;0.255254507064819;RDF50;Social sciences;0.159285917878151;RDF40;Agricultural and veterinary sciences;0.125762283802032;RDF10;Natural sciences;0.101164102554321;RDF60;Humanities and the arts;0.098218247294426
82;Differential impact of stress on risk-taking behaviour in individuals using hippocampus versus caudate nucleus-dependent virtual navigation strategies;RDF50;Social sciences;0.262857586145401;RDF10;Natural sciences;0.24163219332695;RDF30;Medical, health and life sciences;0.200117245316505;RDF20-21;Engineering and technology;0.117292024195194;RDF60;Humanities and the arts;0.104771949350834;RDF40;Agricultural and veterinary sciences;0.0733289793133736
