;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.3730533719062805;RDF303;Health sciences;0.21948674321174622;RDF305;Other medical sciences;0.03143491595983505;RDF304;Medical biotechnology;0.02750866673886776
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.4324556291103363;RDF601;History, archaeology and related studies;0.05986040458083153;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.007287153974175453;RDF602;Languages and literature;0.005465342663228512
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.28518784046173096;RDF301;Basic medicine and life sciences;0.0064428760670125484;RDF304;Medical biotechnology;0.005365632940083742;RDF302;Clinical medicine;0.0030264060478657484
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.40667924284935;RDF304;Medical biotechnology;0.3080493211746216;RDF303;Health sciences;0.2887893617153168;RDF305;Other medical sciences;0.2296428233385086
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF30;Medical, health and life sciences;0.4335539638996124;RDF305;Other medical sciences;0.19532154500484467;RDF304;Medical biotechnology;0.07947244495153427;RDF301;Basic medicine and life sciences;0.04309253767132759
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.27060315012931824;RDF303;Health sciences;0.2730732262134552;RDF304;Medical biotechnology;0.19301216304302216;RDF305;Other medical sciences;0.1870395392179489
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);RDF50;Social sciences;0.7540276646614075;RDF503;Education;0.27797991037368774;RDF504;Sociology and related studies;0.05190805718302727;RDF509;Other social sciences;0.035710688680410385
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);RDF20-21;Engineering and technology;0.19365249574184418;RDF211;Nano-technology;0.04432625323534012;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.038118865340948105;RDF207;Medical and biomedical engineering;0.0038199222180992365
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF20-21;Engineering and technology;0.2396930754184723;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.9104686379432678;RDF205;Chemical engineering;0.5776792764663696;RDF208;Environmental engineering and related engineering;0.5216107368469238
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Political science and public administration);RDF20-21;Engineering and technology;0.24012553691864014;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.7245752811431885;RDF208;Environmental engineering and related engineering;0.04699648916721344;RDF202;Industrial, systems and processes engineering;0.016715431585907936
