P0023;;;Open-source numerical strategy for the analysis and redesign of turbomachine blades accounting for nonlinear structural interactions
P0024;Physics;Physique;Application of Boltzmann Transport Equation solutions to nuclear reactor physics and radiotherapy applications
P0025;;;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur
P0026;;;Interdisciplinary Canadian Collaborative ME Research Network
P0027;Political science and public administration;Science politique et administration publique;La nouvelle politique de la redistribution
P0028;Cardiovascular System – Vascular System;Système cardiovasculaire - Système vasculaire;Extracellular vesicles and their miR cargo to enhance ischemia-induced neovascularization in peripheral artery disease
P0029;;;Low-Dimensional Organic Materials for Energy, Electronic and Environment Applications
P0030;Genes, Cells and Molecules;Gènes, cellules et molécules;Histone protein supply and demand: life on a knife's edge
P0031;Mathematics and Statistics;Mathématiques et statistique;Bayesian deep-learning prediction with sparse graphs
P0032;History;Histoire;At the Edge of Soft Power: French Saint-Simonians and Nineteenth-Century Visions of Development
P0033;Mathematics and Statistics;Mathématiques et statistique;Random walks on random graphs in high dimensions
P0034;Biological Systems and Functions;Systèmes et fonctions biologiques;Roles, mechanisms of action and regulation of Hippo signaling in the testis
P0035;Biological Systems and Functions;Systèmes et fonctions biologiques;The role of the TGFB-SOX9 signaling pathway in brain angiogenesis
P0036;;;A randomized controlled trial comparing Virtual Reality Therapy to Supportive Therapy to reduce cannabis use in patients with psychotic disorders
P0037;Education and social work;Éducation et travail social;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage
P0038;;;Impact of insects by-products and phytogenics on the piglet's intestinal health
P0039;Geosciences;Géosciences;Response of the continental water cycle to greenhouse warming: evaluating, understanding and constraining Earth System Model projections
P0040;;;Why Do Green Products Suffer from Low Consumer Preference? An Explanation Based on Ease of Benefit Visualization and Price Fairness Perceptions
P0041;Geography, urban planning and related fields;Géographie, urbanisme et domaines connexes;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles
P0042;;;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles)
P0043;;;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale
P0044;;;The ethical challenges of Artificial Intelligence for start-ups
P0045;Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Integrating impacts from marine plastics in Life Cycle Assessment
P0046;;;A Semantic Parsing Approach to Open-world Knowledge Graph Question Answering
P0047;Indigenous research;Études autochtones;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé
P0048;;;Pathways for the digital economy: Adolescent digital literacies and InstaPoetry
P0049;Multidisciplinary or interdisciplinary social sciences;Sciences sociales multi- ou interdisciplinaires;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie
P0050;Biological Systems and Functions;Systèmes et fonctions biologiques;Bilingualism and attentional processes in the age and language proficiency continuum
P0051;;;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra
P0052;Fine Arts, Research-Creation;Beaux-arts, recherche-création;"""Domestic art galleries"" in Cuba, Russia, and China after 1989: a(n) (imagined) trans-socialist network"
P0053;Biological Systems and Functions;Systèmes et fonctions biologiques;Advancing the understanding of fundamental principles of motor control
P0054;;;Impact Award: Insight
P0055;Chemistry;Chimie;New Methods for the Stereoselective Synthesis of Organic Compounds
P0056;Fine Arts, Research-Creation;Beaux-arts, recherche-création;Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui
P0057;Fine Arts, Research-Creation;Beaux-arts, recherche-création;Environnement, médias, archives : une anatomie contemporaine de la mélancolie et de la nostalgie
P0058;Genes, Cells and Molecules;Gènes, cellules et molécules;Multimode determination of gene transcription and metabolic labeling
P0059;;;SLAMF7 in innate immune cells and anti-cancer immunotherapy
P0060;Literature;Études littéraires;À votre service : figures ambivalentes du care dans le Roman français de 1870 à 1945
P0061;;;Using a point-of-care electrophysiological method to study the impact of neuro-sacral function on recovery after acute spinal cord injury
P0062;Education;Éducation;Local intersectoral networks and institutional transformations: how can local actors promote social innovations?
P0063;;;Plasma biomarkers of Alzheimer's disease in insomnia before and after cognitive behavioral therapy for insomnia
P0064;Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Developing algorithm aided fabrication methods for polyhedral structures
P0065;Virology & Viral Pathogenesis;Virologie et pathogenèse virale;SARS-CoV-2 Spike conformation: impact on Fc-mediated effector functions
P0066;Mathematics and Statistics;Mathématiques et statistique;Questions in number theory
P0067;Gender, Sex & Health;Genre, sexe et santé;The mammalian target of rapamycin provides the female rodent heart sex-dependent resistance to ischemic damage
P0068;Health Research Training Platform;Plateforme de recherche de formation en santé;The CAnadian Mother-ChIld COLlaborative Training Platform - The CAMCCO-L Training Platform
P0069;Gender, Sex & Health;Genre, sexe et santé;Life course body fatness and physical activity, and ovarian cancer etiology
P0070;Behavioural Sciences – Neurobiological Basis of Behavioural Processes;Sciences comportementales - Fondements neurologiques des processus comportementaux;Modeling cue-triggered relapse to cocaine use in rats
P0071;;;Exploring emotional underpinnings of audit work amidst the rise of the digital age
P0072;;;Moving towards culturally safe services for Indigenous people in forensic mental health: A Partnership Development Programme
P0073;Physics;Physique;Development of functional language brain networks: a multimodal neuroimaging approach
P0074;Philosophy, medieval studies, classics, religious;Philosophie, études classiques, religieuses et médiévales;Une deuxième peau à vif: vêtement, genre et violence dans la Bible hébraïque
P0075;Social Innovation;Innovation sociale;Social Innovation through Participatory Art and Design with Youth at the Margins - Solutions for Engaging and Empowering Youth with Trans-Atlantic Mirroring
P0076;Clinical Investigation – Reproduction, Maternal, Child and Youth Health;Études cliniques - Reproduction, santé des jeunes, de la mère et de l'enfant;Assessment of renal function in adults born preterm: The HAPI-Kidney study
P0077;;;Unveiling the Role of Cellular Aging in Postmenopausal Syndrome: Rationale for Senolytic-Based Strategies to Enhance Women's Health
P0078;;;Optimizing the Ageing Brain? Situating Ethical Aspects of Dementia Prevention (BEAD)
P0079;;;Multicommunicating during team meetings and its effect on team functioning
P0080;Psychology;Psychologie;Transitioning from late adolescence into emerging adulthood: The role of past and current parenting
P0081;Mechanical Engineering;Génie mécanique;Plateforme intégrée de caractérisation expérimentale/numérique pour la conception de matériaux poreux innovants
P0082;;;How Peers in Healthcare Teams Transform Homelessness Prevention and Care Practices: A Participatory Multiple Case Study
P0083;Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Online stochastic optimization for dynamic operations management systems
P0084;Computer Science;Sciences informatiques;Assessing latent-structure models in natural language processing with artificial datasets
P0085;Chemistry;Chimie;Electroactive Self-Assembled Monolayers: Putting Surface-Confined Redox Reactions to Work
P0086;Clinical Investigation – Arthritis, Bone, Skin and Cartilage;Études cliniques - Arthrite, os, peau et cartilages;Role of SCPPPQ1, a junctional epithelium protein, in maintaining periodontal integrity and health
P0087;Multidisciplinary or interdisciplinary social sciences;Sciences sociales multi- ou interdisciplinaires;What dreams may come: How cinema shapes the language, experience, and images of dreaming
P0088;Chemistry;Chimie;Supramolecular strategies to target cellular membranes
P0089;;;Geopolitics, bargaining, and firm selection along the Belt and Road
P0090;Movement & Exercise;Mouvement et exercice;Role of neuron-glia interactions in sensori-motor integration in mastication
P0091;Physics;Physique;Dual-Energy Cone-Beam CT as an online quantitative imaging modality for adaptive radiotherapy
P0092;Philosophy, medieval studies, classics, religious;Philosophie, études classiques, religieuses et médiévales;"Le ""patient expert"": enjeux épistémiques et normatifs"
P0093;;;Les données numériques en santé: peut-on bâtir la confiance
P0094;;;Role of ARF1 as a key GTPAse regulating immune surveillance in breast cancer
P0095;Chemistry;Chimie;Critical Replacement of Thermogravimetric Analyzer to Leverage Materials Discovery and Innovation
P0096;;;Partnering with Canadian Youth to Co-Design a Toolkit to Support Youth who Experience Climate-Related Distress
P0097;;;Family Acculturation: Identity, Legitimacy, and the Marketplace
P0098;Computer Science;Sciences informatiques;Low-Resource Text Understanding
P0099;Sociology, demography and related fields;Sociologie, démographie et domaines connexes;Privilège des minoritaires et inégalités épistémiques: une perspective féministe et décoloniale sur la reconnaissance des savoirs expérientiels dans la lutte contre la pauvreté au Québec et en Belgique francophone
P0100;Sociology, demography and related fields;Sociologie, démographie et domaines connexes;L'esthétique moyenne ou la coupe régulière
P0101;Multidisciplinary or interdisciplinary social sciences;Sciences sociales multi- ou interdisciplinaires;Deepening understanding on infant and child mortality disparities in low- and middle-income countries: untangling the direct and indirect effects of gender inequality
P0102;Behavioural Sciences – Neurobiological Basis of Behavioural Processes;Sciences comportementales - Fondements neurologiques des processus comportementaux;Isolating the role of the raphe-ventral hippocampus serotonergic pathway in anxiety
P0103;Biological Systems and Functions;Systèmes et fonctions biologiques;Facing pain is effortful: a multidisciplinary approach to investigate the effects of pain on perception of effort and performance
P0104;Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Enjeux émergents liés à la présence de manganèse dans les eaux potables
P0105;;;Élaboration d'un procédé de stockage de CO2 par minéralisation visant à réduire les émissions des Gaz à Effet de Serre du secteur agricole
P0106;Economics;Sciences économiques;Factor models for forecasting and macroeconomic applications
P0107;Literature;Études littéraires;Une histoire écrite avec des si. Les devenirs romanesques des idéaux libertaires (1898-1940)
P0108;;;Jean-Marc Vallée : de Montréal à Hollywood
P0109;Cancer Progression & Therapeutics;Progression du cancer et thérapeutique;Prebiotics to modify the gut microbiome and enhance immune checkpoint blockers
P0110;Public, Community & Population Health;Santé publique, santé communautaire et santé des populations;Words Matter, Numbers Matter, Ways Matter: Establishing a Data and Resource Platform to Guide Equitable Healthcare for Women Living with Female Genital Mutilation/Cutting in Canada
P0111;Anthropology and archaeology;Anthropologie et archéologie;"Dynamiques de cohabitation à l'ère de la ""super-diversité"""
P0112;Mathematics and Statistics;Mathématiques et statistique;Dependence Modelling for Arbitrary Distributions
P0113;Anthropology and archaeology;Anthropologie et archéologie;CONTACT BY SEA: : Basques et Autochtones dans le golfe Saint-Laurent, XVIe-XVIIIe siècle
P0114;Genes, Cells and Molecules;Gènes, cellules et molécules;The impact of genetic variation on genome biology and function
P0115;Clinical Investigation – Reproduction, Maternal, Child and Youth Health;Études cliniques - Reproduction, santé des jeunes, de la mère et de l'enfant;Orphan Nuclear Receptor Regulation of Fertility
P0116;Cardiovascular System – Heart and Circulation;Système cardiovasculaire - Cœur et circulation;Identifying the roles of atypical MAP kinases ERK3 and ERK4 in cardiac remodelling
P0117;Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Valorisation des données industrielles
P0118;Materials and Chemical Engineering;Génie chimique et des matériaux;Multiphysics and multiscale modeling for the intensification of chemical engineering processes
P0119;Cancer Progression & Therapeutics;Progression du cancer et thérapeutique;Targeting BMP signaling in the tumor endothelium to improve cancer immunotherapy
P0120;;;The Impact of Job Transformations on Frontline Employees' Burnout and Performance: Examining the Roles of Manager Support and Empathy
P0121;;;Structural design and rehabilitation of bridge superstructure and foundation elements utilizing fibre reinforced concrete and ultra-high performance fibre reinforced concrete with conventional reinforcement
P0122;Education and social work;Éducation et travail social;Des dispositifs de développement professionnels transformateurs pour les enseignants du postsecondaire
P0123;Mechanical Engineering;Génie mécanique;High-fidelity simulations of turbulent combustion relevant to gas turbines and compression ignition engines
P0124;;;Responsible Conduct in Research: From Norms to Practice
P0125;Genes, Cells and Molecules;Gènes, cellules et molécules;Integrity of the cellular transformation barriers in reprogrammed cell
P0126;Evolution and Ecology;Évolution et écologie;Deuterostome extracellular matrix structures (ossicles and tubes): Evolution, composition, function and development
P0127;Chemistry;Chimie;Finding Order in Chaos: Vibrational Spectroscopy Study of Oriented Soft Materials
P0128;;;COVID-19 seroepidemiology in children Using Retrieved POPCORN site Leftover Samples (CURNLS)
P0129;;;COVIH study: COVID-19 burden in HIV infected individuals
P0130;Genes, Cells and Molecules;Gènes, cellules et molécules;Unravelling the physiological function of a highly conserved HNRNPA1 splice variant
P0131;;;Valorisation des données de production manufacturière pour une prise de décision personnalisée et décentralisée
P0132;;;Uncovering causal complexities and trade-offs in the acceptance of mobile apps used to protect communities: the case of emergency response and contact tracing technologies
P0133;Biological Systems and Functions;Systèmes et fonctions biologiques;Acquisition of an ultracentrifuge to support research in the field of veterinary infectious diseases
P0134;Multidisciplinary or interdisciplinary humanities;Sciences humaines multi- ou interdisciplinaires;Penser et agir pour la paix au Québec
P0135;Fine Arts, Research-Creation;Beaux-arts, recherche-création;Towards a visualization-assisted international history of videogame culture
P0136;;;Modélisation et optimisation biomécanique d'orthèses et d'instrumentation de modulation de croissance pour le traitement de la scoliose pédiatrique
P0137;Clinical Investigation – Arthritis, Bone, Skin and Cartilage;Études cliniques - Arthrite, os, peau et cartilages;Randomized controlled trial to evaluate the effect of a postural re-education intervention compared to standard care on scoliosis progression in adolescent
P0138;Multidisciplinary or interdisciplinary social sciences;Sciences sociales multi- ou interdisciplinaires;Sommeil après une commotion cérébrale : impact sur le bien-être et le fonctionnement familial
P0139;;;Few-Mode Optical Coherence Tomography (FM-OCT)
P0140;;;(IN)VISIBILISATION : Le design au prisme de l'itinérance
P0141;Hematology, Digestive Disease & Kidney;Hématologie, maladies digestives et rein;Targeting SMOC2-induced epithelial-to-mesenchymal transition inhibits senescence in mouse models of kidney fibrosis
P0142;Law and criminology;Droit et criminologie;Modèle explicatif des liens drogues-crimes des jeunes femmes adultes: une nouvelle perspective
P0143;;;Mégadonnées et techniques avancées démystifiées
P0144;Electrical and Computer Engineering;Génie électrique et de l'informatique;Developing neurocomputational tools for the prediction and modulation of consciousness
P0145;Education and social work;Éducation et travail social;Description et analyse des interactions orales entre adulte (enseignante/parent) et enfant en lien avec les habiletés narratives lors de la lecture d'albums plurilingues dans une perspective de collaboration école-famille en milieu pluriethnique
P0146;Education and social work;Éducation et travail social;Contribuer au développement d'écoles plus justes et inclusives du personnel scolaire de groupes racisés : quels cadres de référence éthique pour les directions d'établissement d'enseignement?
P0147;Systems & Circuits Neurosciences;Systèmes et circuits en neurosciences;Manipulating methionine metabolism to shape immune responses and modify disease progression in both sexes in MS
P0148;Clinical Investigation – Cardiovascular Systems;Études cliniques - Systèmes cardiovasculaires;Lymphatic vessel function in atherosclerosis
P0149;Literature;Études littéraires;Théorie de l'improvisation comme pratique de vulnérabilité en recherche-création
P0150;Law and criminology;Droit et criminologie;Potentialiser le leadership normatif de l'Organisation mondiale de la santé: une étude internationale
P0151;;;PARCS en Santé: Contrôler les agents pathogènes transmis par les tiques tout en protégeant la biodiversité des parcs nature péri-urbains
P0152;Sociology, demography and related fields;Sociologie, démographie et domaines connexes;Appréhender la colère sociale : une enquête comparative auprès des jeunes NEET au Québec et en Ontario
P0153;Education and social work;Éducation et travail social;La professionnalisation des enseignants d'éducation physique et à la santé à l'école primaire et secondaire : l'enjeu stratégique du savoir professionnel au Québec et en Ontario
P0154;Mechanical Engineering;Génie mécanique;Two-phase flow numerical model development based on experimental characterization
P0155;;;Idea vitality and group idea elaboration
P0156;;;La réorganisation des services institutionnels et communautaires auprès des personnes en situation d'itinérance et les besoins des personnes en situation d'itinérance pour faire face à la pandémie de COVID-19
P0157;Cardiovascular System – Cells and Tissues;Système cardiovasculaire - Cellules et tissus;Contribution of 17beta-estradiol in pregnancy-related cardiac arrhythmias
P0158;Mutidisciplinary or interdisciplinary social sciences;Sciences sociales multi- ou interdisciplinaires;Le vivant à l'aune de l'Anthropocène. Étude des enjeux matériels, sociaux, culturels, éthiques et épistémologiques des représentations du vivant et des imaginaires sociotechniques des biotechnologies
P0159;Electrical and Computer Engineering;Génie électrique et de l'informatique;Connectivité intelligente des véhicules urbains dans un réseau hétérogène d'ondes millimétriques
P0160;Communications, media studies, gender studies, library and information science, related fields;Communications, études médiatiques, études de genre, bibliothéconomie et sciences de l'information, domaines connexes;How spokespersons stand for, act for, and speak for a collective: Understanding the communicative inner workings of political representation and its organizing effects
P0161;;;Coconstruire un modèle théorique de l'objection de conscience : approfondir sa compréhension afin de mieux l'intégrer à la formation et la pratique infirmière
P0162;;;Acceptability, user experience and effect of a new mobile app, 'OUPS!', a FemTech solution designed for the treatment of urinary incontinence in menopausal women: a mixed method study
P0163;;;Traduction et journalisme/Translation and Journalism/Traducción y periodismo
P0164;Education and social work;Éducation et travail social;Réponse différentielle à l'évaluation formelle en protection de la jeunesse en contexte de diversité ethnoculturelle: portrait de la situation et perspectives des familles et des intervenants
P0165;Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Grey box optimization
P0166;Materials and Chemical Engineering;Génie chimique et des matériaux;Polymers for realizing energetic materials with tailored performance
P0167;;;How does the interplay between mandatory and voluntary regulation shape industry practice change for the better?
P0168;;;Unité de liaison pour la recherche internationale sur le conseil scientifique
P0169;Philosophy;Philosophie;La téléologie naturelle au 18e siècle
P0170;Philosophy;Philosophie;Mouvements sociaux, droits sociaux et démocratie. Une théorie normative
P0171;Materials and Chemical Engineering;Génie chimique et des matériaux;Modeling the thermodynamic and physical properties of Deep Eutectic Solvents
P0172;;;La qualité des relations employé-superviseur : Un modèle processuel des antécédents, conséquences, et modérateurs des évaluations comparatives
P0173;Literature;Études littéraires;Mathésis, mimésis, sémiosis : la littérarité des genres populaires dans les littératures francophones d'Afrique subsaharienne, du Maghreb et des Caraïbes
P0174;Anthropology and archaeology;Anthropologie et archéologie;Regime Change and Resilience of Maya peoples at the end of the Classic period (ca. 800-1000 CE)
P0175;Crisis/Suicide Line and App-based Support Models for post traum. stress in public safety personnel (PSP);Lignes d'écoutes et modèles applicatifs de support pour le stress post-traumatique chez les premiers répondants;Recommendations for culturally sensitive and intersectional practice in suicide prevention intervention for public safety personnel : a qualitative approach
P0176;Philosophy;Philosophie;Varieties of Valuings
P0177;Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Pilotage en temps réel des systèmes à l'ère de l'industrie 4.0
P0178;;;Understanding Esophageal Atresia using Induced Pluripotent Stem Cells
P0179;Microbiology & Infectious Diseases;Microbiologie et maladies infectieuses;Discovery and characterization of novel genetic-exchange and drug-resistance mechanisms in Leishmania parasites
P0180;Computer Science;Sciences informatiques;From Perception and Learning to Understanding and Action
P0181;Biological Systems and Functions;Systèmes et fonctions biologiques;Novel mechanisms of theca cell growth in the ovarian follicle of cattle
P0182;;;An OCT-controlled system for precise and reproducible subretinal drug injection in mice
P0183;Genes, Cells and Molecules;Gènes, cellules et molécules;Bioenergetic role of astrocytes in neuronal plasticity and behaviour
P0184;Sociology, demography and related fields;Sociologie, démographie et domaines connexes;In Democracy we trust, do we?
P0185;Biological Systems and Functions;Systèmes et fonctions biologiques;Minimally-invasive monitoring of renal health in reptiles
P0186;;;Le réenchantement à contretemps ? Irrationalité et postmodernité littéraire
P0187;;;Structure-functional property-device performance relationships in electronic and energy materials and devices
P0188;;;AI augmented pilot
P0189;;;Transfert, appropriation et rétention des pratiques associées à l'approvisionnement valorisant l'innovation dans le réseau québécois de la santé : le cas de l'approche fonctionnelle
P0190;;;Le patrimoine des groupes ethnoculturels de Montréal: le cas de Montréal-Nord
P0191;Anthropology and archaeology;Anthropologie et archéologie;Documenting forager adaptations to dramatic climate change at the Pleistocene-Holocene transition in Liguria (Italy)
P0192;;;Abordabilité intégrée: état des connaissances sur les interactions entre coûts d'habitation et de transport
P0193;Environmental Sciences;Sciences de l'environnement;High definition digital microscope for accelerating Québec entomological research
P0194;Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Envisioning and Enacting UX Evaluation of Augmented Reality: A Multimethod Approach
P0195;Mechanical Engineering;Génie mécanique;Kinematic-specific proprioceptive stimulations to better understand sensory control of gait movements
P0196;Biological Systems and Functions;Systèmes et fonctions biologiques;Attentional processes in the human insula
P0197;Mechanical Engineering;Génie mécanique;Towards More Autonomous and Safer Unmanned Aerial Vehicle Systems
P0198;Geosciences;Géosciences;Subsea and terrestrial permafrost of the central and eastern Canadian Arctic Archipelago
P0199;;;Global Centers Track 2: Heat Adaptation
P0200;Virology & Viral Pathogenesis;Virologie et pathogenèse virale;Immunovirological determinants of breakthrough COVID-19 disease in vaccinated or previously infected individuals
P0201;;;Hormonal control of stamen filament growth
P0202;Biochemistry & Molecular Biology;Biochimie et biologie moléculaire;Investigate features and dynamics of intron RNP biology and its role in modulating RNA metabolism
P0203;;;CircRNAome in childhood TCF3-PBX1 ALL: Biomaker potential and mechanisms of circRNA dysregulation and function
P0204;;;Additive manufacturing technologies for high-performance and high-productivity of multifunctional composite structures and their sustainability for aerospace applications
P0205;;;Computational methods and frameworks for unsupervised machine learning
P0206;;;Au coeur du cosmos TRYSPACES: Colloque, exposition et bibliothèque numérique
P0207;;;Understanding Attitudes toward Artists with a Physical Disability
P0208;Materials and Chemical Engineering;Génie chimique et des matériaux;Non-target analysis of radicals in sonochemical and advanced oxidation processes (AOPs)
P0209;;;La cyberviolence dans les relations amoureuses des jeunes : identifier les facteurs de risque et de protection ainsi que leurs impacts différenciés selon le genre
P0210;;;"""Sentometrics"": Econometrics of textual sentiment with applications in economics and finance"
P0211;;;Clean Energy transition, Market Design and Industry Dynamics
P0212;;;Conférence de l'International Society for the Study of Drug Policy
P0213;Genes, Cells and Molecules;Gènes, cellules et molécules;Methods development for the measurement of single-cell molecular state
P0214;;;Multifunctional Engineering Structures via Embodied Intelligence
P0215;Physics;Physique;Spin waves in ferromagnetic metallic wires
P0216;Genes, Cells and Molecules;Gènes, cellules et molécules;Molecular Chronobiology and regulation of gene expression in dinoflagellates
P0217;;;Combiner l’hypnose, la réalité virtuelle, la neurophysiologie et l’intelligence artificielle dans la gestion non-pharmacologique et personnalisée de la douleur chronique
P0218;Philosophy;Philosophie;Les théories inédites de la foi des penseurs dominicains des années 1250-1350
P0219;;;Computationally efficient multiphysics and multiscale modeling approaches applied to porous materials engineering
P0220;Economics;Sciences économiques;Marriage, Sorting, and Segregation Across U.S. Cities
P0221;Materials and Chemical Engineering;Génie chimique et des matériaux;Highly versatile benchtop Flow Cytometry Analyzer
P0222;;;Analysis of Extreme Values
P0223;History;Histoire;Frontlines to Headlines: The Politics of Memory, War and the Press in interwar Germany
P0224;Chemistry;Chimie;Mechanistic Investigations of Nickel-Promoted C-Heteroatom Bond Making Reactions
P0225;;;Manipulated Procurement
P0226;;;Functionalized Bilayer Graphene Devices: Achieving Selectivity and Sensitivity
P0227;;;Le rôle de la résilience sur la santé et le bien-être des équipes interprofessionnelles: validation d'une démarche managériale participative
P0228;Law and criminology;Droit et criminologie;Les jeunes en difficulté et faisant l'objet d'une double prise en charge judiciaire : parcours de vie, trajectoires dans les services et pratiques professionnelles
P0229;Fine Arts, Research-Creation;Beaux-arts, recherche-création;"Before the ""Great Divide"": The Shared Language(s) of Art and Science in the Early Modern Period"
P0230;;;MID-INFRARED QUANTUM TECHNOLOGY FOR SENSING (MIRAQLS)
P0231;Cancer Progression & Therapeutics;Progression du cancer et thérapeutique;Exploiting minor histocompatibility antigens for personalized cancer immunotherapy
P0232;Economics;Sciences économiques;Investment incentives in matching markets: on the foundations of competitive models
P0233;Computer Science;Sciences informatiques;Advancing Machine Learning with Causal Models
P0234;Medieval, classics, religious studies;Études classiques, religieuses et médiévales;The Brahma Kumari Tradition in Canada and the United States
P0235;Education and social work;Éducation et travail social;Social polarization in high schools during COVID-19: A mixed-method Positive Youth Development research to inform how to promote well-being and reduce violence among adolescents
P0236;;;Assessing the community needs of Canadians with limb loss: Building the foundation for community action
P0237;;;Addition of high dose Stimulant and engagement-focused Contingency management, alone and in combination, to treatment as usual for the management of MEthamphetamine use disorder (ASCME): a pan-Canadian multisite randomized controlled trial
P0238;;;Écrire / Traduire / Visualiser les humanités numériques
P0239;Chemistry;Chimie;Smart Electrolytes for a New Perspective on Electrochemical Energy Storage
P0240;History;Histoire;Femmes et pouvoirs dans le bailliage de Montréal (1644-1693)
P0241;Psychology;Psychologie;Entre pressions socioculturelles et insatisfaction à l'égard de l'image corporelle : le rôle médiateur de caractéristiques personnelles chez les adolescents et jeunes hommes.
P0242;Computer Science;Sciences informatiques;Multi-Precision Optimization and Methods with Inaccurate Functions and Derivatives
P0243;Mechanical Engineering;Génie mécanique;Adaptive FEM for Analysis, Design, and Control of Complex Flows
P0244;Cancer Progression & Therapeutics;Progression du cancer et thérapeutique;Diagnosis of Aggressive Prostate Cancer Using Key Features of Raman Spectroscopy
P0245;Biological Systems and Functions;Systèmes et fonctions biologiques;Maintaining balance in an unstable environment: A central role for the vestibular system
P0246;Biological Systems and Functions;Systèmes et fonctions biologiques;Multifarious roles of the smallest Arabidopsis thaliana MAPKKKs clade (MAPKKK19, 20 and 21) as an integrative hub for plant pathogen interactions, growth, development and reproduction
P0247;Civil, Industrial and Systems Engineering;Génie civil, industriel et des systèmes;Occurrence et contrôle des bactéries opportunistes et bioaérosols issus des systèmes de traitement des eaux usées
P0248;Political science and public administration;Science politique et administration publique;Le confinement : étude comparée du choix d'un instrument de politique publique extrême
P0249;;;Valorisation des noirs de carbone recyclés de pneus usagés
P0250;;;"""Managing AI in Health Ecosystems"" Masterclass"
