;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);RDF20-21;Engineering and technology;0.48356637358665466;RDF211;Nano-technology;0.782360851764679;RDF206;Materials engineering and resources engineering;0.7213646769523621;RDF208;Environmental engineering and related engineering;0.5777719020843506
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF10;Natural sciences;0.6406331658363342;RDF105;Earth and related environmental sciences;0.9769598245620728;RDF103;Physical sciences;0.8692317008972168;RDF102;Computer and information sciences;0.48111823201179504
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Political science and public administration);RDF50;Social sciences;0.9832665324211121;RDF506;Political science and policy administration;0.9992186427116394;RDF509;Other social sciences;0.24213248491287231;RDF504;Sociology and related studies;0.001813624519854784
20;Intentions or affect: Which is a key driver of physical activity? Using ecological momentary assessment to understand the intention-behaviour gap in schizophrenia spectrum disorders (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.9310877323150635;RDF504;Sociology and related studies;0.8273731470108032;RDF501;Psychology and cognitive sciences;0.36137107014656067;RDF509;Other social sciences;0.14040745794773102
21;Biophysical and genetic control of root growth;RDF10;Natural sciences;0.843586802482605;RDF106;Biological sciences;0.8961279392242432;RDF105;Earth and related environmental sciences;0.8074838519096375;RDF103;Physical sciences;0.617902398109436
22;Open-source numerical strategy for the analysis and redesign of turbomachine blades accounting for nonlinear structural interactions;RDF20-21;Engineering and technology;0.9771491885185242;RDF204;Mechanical engineering;0.8543508648872375;RDF206;Materials engineering and resources engineering;0.5787935256958008;RDF212;Other engineering and technologies;0.5432308912277222
23;Application of Boltzmann Transport Equation solutions to nuclear reactor physics and radiotherapy applications (Physics);RDF10;Natural sciences;0.4088880121707916;RDF103;Physical sciences;0.9868006706237793;RDF107;Other natural sciences;0.0033053113147616386;RDF104;Chemical sciences;2.031247095146682e-05
24;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur;RDF20-21;Engineering and technology;0.6456195116043091;RDF202;Industrial, systems and processes engineering;0.8744624853134155;RDF203;Electrical engineering, computer engineering, and information engineering;0.720231831073761;RDF208;Environmental engineering and related engineering;0.6223940253257751
25;Interdisciplinary Canadian Collaborative ME Research Network;RDF30;Medical, health and life sciences;0.6828234195709229;RDF301;Basic medicine and life sciences;0.8997434377670288;RDF305;Other medical sciences;0.7866932153701782;RDF304;Medical biotechnology;0.46677732467651367
26;La nouvelle politique de la redistribution (Political science and public administration);RDF50;Social sciences;0.6888311505317688;RDF506;Political science and policy administration;0.9982022047042847;RDF509;Other social sciences;0.0006458646384999156;RDF504;Sociology and related studies;0.00022554199676960707
27;Extracellular vesicles and their miR cargo to enhance ischemia-induced neovascularization in peripheral artery disease (Cardiovascular System – Vascular System);RDF30;Medical, health and life sciences;0.5119651556015015;RDF304;Medical biotechnology;0.9394634962081909;RDF302;Clinical medicine;0.6019288301467896;RDF301;Basic medicine and life sciences;0.5916927456855774
28;Low-Dimensional Organic Materials for Energy, Electronic and Environment Applications;RDF20-21;Engineering and technology;0.576507031917572;RDF206;Materials engineering and resources engineering;0.8740177750587463;RDF211;Nano-technology;0.850925862789154;RDF208;Environmental engineering and related engineering;0.6880121231079102
29;Histone protein supply and demand: life on a knife's edge (Genes, Cells and Molecules);RDF10;Natural sciences;0.6167179942131042;RDF106;Biological sciences;0.994375467300415;RDF104;Chemical sciences;0.7996845841407776;RDF103;Physical sciences;0.572054922580719
30;Bayesian deep-learning prediction with sparse graphs (Mathematics and Statistics);RDF10;Natural sciences;0.40424180030822754;RDF101;Mathematics and statistics;0.9989559650421143;RDF107;Other natural sciences;0.1632813662290573;RDF102;Computer and information sciences;0.00657582888379693
31;At the Edge of Soft Power: French Saint-Simonians and Nineteenth-Century Visions of Development (History);RDF60;Humanities and the arts;0.44608789682388306;RDF605;Other humanities;0.5225750803947449;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.3089141249656677;RDF601;History, archaeology and related studies;0.16180476546287537
32;Random walks on random graphs in high dimensions (Mathematics and Statistics);RDF10;Natural sciences;0.38523614406585693;RDF101;Mathematics and statistics;0.9980875849723816;RDF107;Other natural sciences;0.025540171191096306;RDF102;Computer and information sciences;0.0010607399744912982
33;Roles, mechanisms of action and regulation of Hippo signaling in the testis (Biological Systems and Functions);RDF10;Natural sciences;0.36760953068733215;RDF106;Biological sciences;0.7470529079437256;RDF107;Other natural sciences;0.05114123970270157;RDF105;Earth and related environmental sciences;0.0014514266513288021
34;The role of the TGFB-SOX9 signaling pathway in brain angiogenesis (Biological Systems and Functions);RDF10;Natural sciences;0.703139066696167;RDF106;Biological sciences;0.9573256969451904;RDF107;Other natural sciences;0.08790912479162216;RDF104;Chemical sciences;0.0002616919227875769
35;A randomized controlled trial comparing Virtual Reality Therapy to Supportive Therapy to reduce cannabis use in patients with psychotic disorders;RDF30;Medical, health and life sciences;0.5179899334907532;RDF302;Clinical medicine;0.916174054145813;RDF303;Health sciences;0.5945472121238708;RDF304;Medical biotechnology;0.3594263195991516
36;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Education and social work);RDF10;Natural sciences;0.8152284622192383;RDF106;Biological sciences;0.9525419473648071;RDF107;Other natural sciences;0.0006062979809939861;RDF104;Chemical sciences;9.72168127191253e-05
37;Impact of insects by-products and phytogenics on the piglet's intestinal health;RDF10;Natural sciences;0.43534162640571594;RDF106;Biological sciences;0.8557553887367249;RDF107;Other natural sciences;0.6444548964500427;RDF104;Chemical sciences;0.0015172463608905673
38;Response of the continental water cycle to greenhouse warming: evaluating, understanding and constraining Earth System Model projections (Geosciences);RDF10;Natural sciences;0.5144762396812439;RDF105;Earth and related environmental sciences;0.99916011095047;RDF107;Other natural sciences;0.005101908929646015;RDF106;Biological sciences;0.00013028561079408973
39;Why Do Green Products Suffer from Low Consumer Preference? An Explanation Based on Ease of Benefit Visualization and Price Fairness Perceptions;RDF40;Agricultural and veterinary sciences;0.293780654668808;RDF401;Agriculture, forestry, and fisheries;0.5499439239501953;RDF405;Other agricultural sciences;0.12627118825912476;RDF404;Agricultural biotechnology and food sciences;0.06327147036790848
40;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Geography, urban planning and related fields);RDF60;Humanities and the arts;0.6533169746398926;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.5515308976173401;RDF605;Other humanities;0.002610943280160427;RDF603;Philosophy;9.602304089639802e-06
41;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles);RDF60;Humanities and the arts;0.7139748930931091;RDF601;History, archaeology and related studies;0.6393837332725525;RDF605;Other humanities;0.3545140027999878;RDF603;Philosophy;0.0007835871074348688
42;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale;RDF50;Social sciences;0.4076361060142517;RDF504;Sociology and related studies;0.9700278043746948;RDF501;Psychology and cognitive sciences;0.532497227191925;RDF507;Social and economic geography;0.030165378004312515
43;The ethical challenges of Artificial Intelligence for start-ups;RDF20-21;Engineering and technology;0.4478411078453064;RDF212;Other engineering and technologies;0.14084449410438538;RDF203;Electrical engineering, computer engineering, and information engineering;0.013851386494934559;RDF202;Industrial, systems and processes engineering;0.002341935643926263
44;Integrating impacts from marine plastics in Life Cycle Assessment (Civil, Industrial and Systems Engineering);RDF20-21;Engineering and technology;0.9932071566581726;RDF208;Environmental engineering and related engineering;0.9259102940559387;RDF202;Industrial, systems and processes engineering;0.8384698033332825;RDF206;Materials engineering and resources engineering;0.6626183390617371
45;A Semantic Parsing Approach to Open-world Knowledge Graph Question Answering;RDF10;Natural sciences;0.23639686405658722;RDF102;Computer and information sciences;0.32286229729652405;RDF105;Earth and related environmental sciences;0.007166355382651091;RDF106;Biological sciences;0.002615744946524501
46;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé (Indigenous research);RDF30;Medical, health and life sciences;0.5313405990600586;RDF303;Health sciences;0.9984283447265625;RDF302;Clinical medicine;0.6074876189231873;RDF301;Basic medicine and life sciences;0.5859697461128235
47;Pathways for the digital economy: Adolescent digital literacies and InstaPoetry;RDF60;Humanities and the arts;0.3796943724155426;RDF602;Languages and literature;0.0035878268536180258;RDF605;Other humanities;0.000802016700617969;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;6.867261981824413e-05
48;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.957877516746521;RDF504;Sociology and related studies;0.9048985838890076;RDF509;Other social sciences;0.051759958267211914;RDF501;Psychology and cognitive sciences;0.018624506890773773
49;Bilingualism and attentional processes in the age and language proficiency continuum (Biological Systems and Functions);RDF10;Natural sciences;0.5242845416069031;RDF106;Biological sciences;0.7496445775032043;RDF107;Other natural sciences;0.024343393743038177;RDF105;Earth and related environmental sciences;0.001005927799269557
50;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra;RDF20-21;Engineering and technology;0.5643906593322754;RDF212;Other engineering and technologies;0.9926401376724243;RDF202;Industrial, systems and processes engineering;0.677569568157196;RDF203;Electrical engineering, computer engineering, and information engineering;0.5207206010818481
51;"""Domestic art galleries"" in Cuba, Russia, and China after 1989: a(n) (imagined) trans-socialist network (Fine Arts, Research-Creation)";RDF60;Humanities and the arts;0.6964625120162964;RDF605;Other humanities;0.9254091382026672;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.49799951910972595;RDF602;Languages and literature;4.54882210760843e-05
52;Advancing the understanding of fundamental principles of motor control (Biological Systems and Functions);RDF10;Natural sciences;0.5426275730133057;RDF106;Biological sciences;0.7716898322105408;RDF107;Other natural sciences;0.07004665583372116;RDF103;Physical sciences;0.0032641910947859287
53;Impact Award: Insight;RDF30;Medical, health and life sciences;0.2674236595630646;RDF301;Basic medicine and life sciences;0.33456823229789734;RDF302;Clinical medicine;0.1970202624797821;RDF304;Medical biotechnology;0.08189738541841507
54;New Methods for the Stereoselective Synthesis of Organic Compounds (Chemistry);RDF10;Natural sciences;0.44243407249450684;RDF104;Chemical sciences;0.996924638748169;RDF107;Other natural sciences;0.004614383447915316;RDF103;Physical sciences;0.0004354790144134313
55;Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui (Fine Arts, Research-Creation);RDF60;Humanities and the arts;0.8049466013908386;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.7820866107940674;RDF605;Other humanities;0.021505769342184067;RDF602;Languages and literature;0.0009664841345511377
56;Environnement, médias, archives : une anatomie contemporaine de la mélancolie et de la nostalgie (Fine Arts, Research-Creation);RDF60;Humanities and the arts;0.9866893291473389;RDF605;Other humanities;0.9737566113471985;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.8196141719818115;RDF601;History, archaeology and related studies;0.0405108816921711
57;Multimode determination of gene transcription and metabolic labeling (Genes, Cells and Molecules);RDF10;Natural sciences;0.5963613986968994;RDF106;Biological sciences;0.9754953384399414;RDF104;Chemical sciences;0.7184959053993225;RDF107;Other natural sciences;0.24429908394813538
58;SLAMF7 in innate immune cells and anti-cancer immunotherapy;RDF10;Natural sciences;0.5163487792015076;RDF106;Biological sciences;0.6237146854400635;RDF107;Other natural sciences;0.1506873220205307;RDF104;Chemical sciences;0.000124883750686422
59;À votre service : figures ambivalentes du care dans le Roman français de 1870 à 1945 (Literature);RDF60;Humanities and the arts;0.5222650766372681;RDF602;Languages and literature;0.9988950490951538;RDF605;Other humanities;0.4680928885936737;RDF601;History, archaeology and related studies;0.21679630875587463
60;Using a point-of-care electrophysiological method to study the impact of neuro-sacral function on recovery after acute spinal cord injury;RDF10;Natural sciences;0.5747500658035278;RDF106;Biological sciences;0.04545154422521591;RDF107;Other natural sciences;0.017440099269151688;RDF103;Physical sciences;0.0001506299595348537
61;Local intersectoral networks and institutional transformations: how can local actors promote social innovations? (Education);RDF50;Social sciences;0.47165149450302124;RDF503;Education;0.998767077922821;RDF504;Sociology and related studies;0.1045786589384079;RDF509;Other social sciences;0.0077767460606992245
62;Plasma biomarkers of Alzheimer's disease in insomnia before and after cognitive behavioral therapy for insomnia;RDF30;Medical, health and life sciences;0.4586215019226074;RDF301;Basic medicine and life sciences;0.8733113408088684;RDF302;Clinical medicine;0.8637275695800781;RDF303;Health sciences;0.7745545506477356
63;Developing algorithm aided fabrication methods for polyhedral structures (Civil, Industrial and Systems Engineering);RDF20-21;Engineering and technology;0.9963527321815491;RDF202;Industrial, systems and processes engineering;0.7199170589447021;RDF212;Other engineering and technologies;0.30776238441467285;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.17292150855064392
64;SARS-CoV-2 Spike conformation: impact on Fc-mediated effector functions (Virology & Viral Pathogenesis);RDF30;Medical, health and life sciences;0.5006507635116577;RDF303;Health sciences;0.5969218015670776;RDF304;Medical biotechnology;0.42371466755867004;RDF302;Clinical medicine;0.002292173681780696
65;Questions in number theory (Mathematics and Statistics);RDF10;Natural sciences;0.35936734080314636;RDF101;Mathematics and statistics;0.9984175562858582;RDF107;Other natural sciences;0.0007333929534070194;RDF103;Physical sciences;0.00033256059396080673
66;The mammalian target of rapamycin provides the female rodent heart sex-dependent resistance to ischemic damage (Gender, Sex & Health);RDF10;Natural sciences;0.673166811466217;RDF106;Biological sciences;0.9963114857673645;RDF107;Other natural sciences;0.18274946510791779;RDF103;Physical sciences;0.001148012699559331
67;The CAnadian Mother-ChIld COLlaborative Training Platform - The CAMCCO-L Training Platform (Health Research Training Platform);RDF30;Medical, health and life sciences;0.6212122440338135;RDF303;Health sciences;0.9739236831665039;RDF301;Basic medicine and life sciences;0.7163501381874084;RDF302;Clinical medicine;0.05937598645687103
68;Life course body fatness and physical activity, and ovarian cancer etiology (Gender, Sex & Health);RDF30;Medical, health and life sciences;0.62769615650177;RDF301;Basic medicine and life sciences;0.7046254277229309;RDF302;Clinical medicine;0.512458086013794;RDF303;Health sciences;0.4387975335121155
69;Modeling cue-triggered relapse to cocaine use in rats (Behavioural Sciences – Neurobiological Basis of Behavioural Processes);RDF10;Natural sciences;0.5547184944152832;RDF107;Other natural sciences;0.03727328032255173;RDF106;Biological sciences;0.012580654583871365;RDF103;Physical sciences;6.307406874839216e-05
70;Exploring emotional underpinnings of audit work amidst the rise of the digital age;RDF50;Social sciences;0.4263744056224823;RDF501;Psychology and cognitive sciences;0.48353311419487;RDF509;Other social sciences;0.05911257863044739;RDF504;Sociology and related studies;0.0038426853716373444
71;Moving towards culturally safe services for Indigenous people in forensic mental health: A Partnership Development Programme;RDF30;Medical, health and life sciences;0.31855976581573486;RDF305;Other medical sciences;0.0016682143323123455;RDF303;Health sciences;0.0001384091447107494;RDF304;Medical biotechnology;2.6379228074802086e-05
72;Development of functional language brain networks: a multimodal neuroimaging approach (Physics);RDF10;Natural sciences;0.6931674480438232;RDF103;Physical sciences;0.946141242980957;RDF107;Other natural sciences;0.37413012981414795;RDF102;Computer and information sciences;0.0012953379191458225
73;Une deuxième peau à vif: vêtement, genre et violence dans la Bible hébraïque (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.9083384871482849;RDF603;Philosophy;0.9952132701873779;RDF605;Other humanities;0.9866768717765808;RDF602;Languages and literature;0.001009240746498108
74;Social Innovation through Participatory Art and Design with Youth at the Margins - Solutions for Engaging and Empowering Youth with Trans-Atlantic Mirroring (Social Innovation);RDF60;Humanities and the arts;0.3059578537940979;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9187239408493042;RDF605;Other humanities;0.003408492775633931;RDF603;Philosophy;2.4025639504543506e-05
75;Assessment of renal function in adults born preterm: The HAPI-Kidney study (Clinical Investigation – Reproduction, Maternal, Child and Youth Health);RDF30;Medical, health and life sciences;0.9301870465278625;RDF302;Clinical medicine;0.7622225880622864;RDF303;Health sciences;0.6474432945251465;RDF301;Basic medicine and life sciences;0.016559064388275146
76;Unveiling the Role of Cellular Aging in Postmenopausal Syndrome: Rationale for Senolytic-Based Strategies to Enhance Women's Health;RDF10;Natural sciences;0.5092677474021912;RDF106;Biological sciences;0.9573091864585876;RDF107;Other natural sciences;0.06883556395769119;RDF103;Physical sciences;0.00023078445519786328
77;Optimizing the Ageing Brain? Situating Ethical Aspects of Dementia Prevention (BEAD);RDF10;Natural sciences;0.39765506982803345;RDF106;Biological sciences;0.1366255134344101;RDF107;Other natural sciences;0.010844909586012363;RDF103;Physical sciences;0.0004685798194259405
78;Multicommunicating during team meetings and its effect on team functioning;RDF30;Medical, health and life sciences;0.24131327867507935;RDF302;Clinical medicine;0.20361542701721191;RDF301;Basic medicine and life sciences;0.094280906021595;RDF303;Health sciences;0.03831981122493744
79;Transitioning from late adolescence into emerging adulthood: The role of past and current parenting (Psychology);RDF50;Social sciences;0.4245963394641876;RDF501;Psychology and cognitive sciences;0.5281255841255188;RDF509;Other social sciences;0.021795157343149185;RDF503;Education;0.00015645164239685982
80;Plateforme intégrée de caractérisation expérimentale/numérique pour la conception de matériaux poreux innovants (Mechanical Engineering);RDF20-21;Engineering and technology;0.9958476424217224;RDF204;Mechanical engineering;0.9997109174728394;RDF211;Nano-technology;0.054743677377700806;RDF212;Other engineering and technologies;0.04701400175690651
81;How Peers in Healthcare Teams Transform Homelessness Prevention and Care Practices: A Participatory Multiple Case Study;RDF30;Medical, health and life sciences;0.712422251701355;RDF302;Clinical medicine;0.8250625133514404;RDF303;Health sciences;0.04819347709417343;RDF304;Medical biotechnology;0.0011304216459393501
82;Online stochastic optimization for dynamic operations management systems (Civil, Industrial and Systems Engineering);RDF20-21;Engineering and technology;0.9973575472831726;RDF202;Industrial, systems and processes engineering;0.8006174564361572;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.14293552935123444;RDF212;Other engineering and technologies;0.03640151023864746
83;Assessing latent-structure models in natural language processing with artificial datasets (Computer Science);RDF20-21;Engineering and technology;0.27107566595077515;RDF212;Other engineering and technologies;0.002347119152545929;RDF203;Electrical engineering, computer engineering, and information engineering;0.0003120924229733646;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;6.392597424564883e-05
84;Electroactive Self-Assembled Monolayers: Putting Surface-Confined Redox Reactions to Work (Chemistry);RDF20-21;Engineering and technology;0.6704362630844116;RDF205;Chemical engineering;0.9865772128105164;RDF206;Materials engineering and resources engineering;0.6924813985824585;RDF211;Nano-technology;0.6725341081619263
85;Role of SCPPPQ1, a junctional epithelium protein, in maintaining periodontal integrity and health (Clinical Investigation – Arthritis, Bone, Skin and Cartilage);RDF30;Medical, health and life sciences;0.4627307057380676;RDF303;Health sciences;0.9853254556655884;RDF302;Clinical medicine;0.9837818145751953;RDF304;Medical biotechnology;0.7968977093696594
86;What dreams may come: How cinema shapes the language, experience, and images of dreaming (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.7144334316253662;RDF504;Sociology and related studies;0.812746524810791;RDF508;Media and communications;0.4187898635864258;RDF501;Psychology and cognitive sciences;0.1553180068731308
87;Supramolecular strategies to target cellular membranes (Chemistry);RDF10;Natural sciences;0.8509249091148376;RDF104;Chemical sciences;0.996004045009613;RDF107;Other natural sciences;0.13945764303207397;RDF103;Physical sciences;0.052529528737068176
88;Geopolitics, bargaining, and firm selection along the Belt and Road;RDF30;Medical, health and life sciences;0.22461049258708954;RDF304;Medical biotechnology;4.610050382325426e-05;RDF305;Other medical sciences;3.0653871363028884e-05;RDF301;Basic medicine and life sciences;1.2702648746198975e-05
89;Role of neuron-glia interactions in sensori-motor integration in mastication (Movement & Exercise);RDF10;Natural sciences;0.5543310642242432;RDF106;Biological sciences;0.7821105122566223;RDF107;Other natural sciences;0.05473793298006058;RDF103;Physical sciences;0.002094949595630169
90;Dual-Energy Cone-Beam CT as an online quantitative imaging modality for adaptive radiotherapy (Physics);RDF20-21;Engineering and technology;0.25097745656967163;RDF212;Other engineering and technologies;0.021722158417105675;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.004959062673151493;RDF203;Electrical engineering, computer engineering, and information engineering;0.00013276124082040042
91;"Le ""patient expert"": enjeux épistémiques et normatifs (Philosophy, medieval studies, classics, religious)";RDF60;Humanities and the arts;0.823378324508667;RDF603;Philosophy;0.9980732798576355;RDF605;Other humanities;0.3966873288154602;RDF602;Languages and literature;0.0014135227538645267
92;Les données numériques en santé: peut-on bâtir la confiance;RDF30;Medical, health and life sciences;0.6756742596626282;RDF303;Health sciences;0.9927863478660583;RDF302;Clinical medicine;0.8935031890869141;RDF301;Basic medicine and life sciences;0.7298087477684021
93;Role of ARF1 as a key GTPAse regulating immune surveillance in breast cancer;RDF10;Natural sciences;0.5554187297821045;RDF106;Biological sciences;0.9775320291519165;RDF104;Chemical sciences;0.23071607947349548;RDF107;Other natural sciences;0.17436163127422333
94;Critical Replacement of Thermogravimetric Analyzer to Leverage Materials Discovery and Innovation (Chemistry);RDF20-21;Engineering and technology;0.46150869131088257;RDF206;Materials engineering and resources engineering;0.7794553637504578;RDF205;Chemical engineering;0.7156050205230713;RDF212;Other engineering and technologies;0.14799320697784424
95;Partnering with Canadian Youth to Co-Design a Toolkit to Support Youth who Experience Climate-Related Distress;RDF20-21;Engineering and technology;0.2679910361766815;RDF208;Environmental engineering and related engineering;0.3998870253562927;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.11862389743328094;RDF212;Other engineering and technologies;0.11188442260026932
96;Family Acculturation: Identity, Legitimacy, and the Marketplace;RDF50;Social sciences;0.23732911050319672;RDF504;Sociology and related studies;0.4787288010120392;RDF507;Social and economic geography;0.01418727170675993;RDF509;Other social sciences;0.002259443514049053
97;Low-Resource Text Understanding (Computer Science);RDF50;Social sciences;0.26312240958213806;RDF509;Other social sciences;0.0023824949748814106;RDF508;Media and communications;0.0004911875003017485;RDF503;Education;0.00034782843431457877
98;Privilège des minoritaires et inégalités épistémiques: une perspective féministe et décoloniale sur la reconnaissance des savoirs expérientiels dans la lutte contre la pauvreté au Québec et en Belgique francophone (Sociology, demography and related fields);RDF50;Social sciences;0.4016684889793396;RDF504;Sociology and related studies;0.9983218312263489;RDF507;Social and economic geography;0.9700095057487488;RDF509;Other social sciences;0.941919207572937
99;L'esthétique moyenne ou la coupe régulière (Sociology, demography and related fields);RDF50;Social sciences;0.8934544920921326;RDF504;Sociology and related studies;0.9975028038024902;RDF507;Social and economic geography;0.9852867722511292;RDF506;Political science and policy administration;0.20780326426029205
