"Chemistry";"Chimie";"Electroactive Self-Assembled Monolayers: Putting Surface-Confined Redox Reactions to Work"
"Clinical Investigation – Arthritis, Bone, Skin and Cartilage";"Études cliniques - Arthrite, os, peau et cartilages";"Role of SCPPPQ1, a junctional epithelium protein, in maintaining periodontal integrity and health"
"Multidisciplinary or interdisciplinary social sciences";"Sciences sociales multi- ou interdisciplinaires";"What dreams may come: How cinema shapes the language, experience, and images of dreaming"
"Chemistry";"Chimie";"Supramolecular strategies to target cellular membranes"
;;"Geopolitics, bargaining, and firm selection along the Belt and Road"
"Movement & Exercise";"Mouvement et exercice";"Role of neuron-glia interactions in sensori-motor integration in mastication"
"Physics";"Physique";"Dual-Energy Cone-Beam CT as an online quantitative imaging modality for adaptive radiotherapy"
"Philosophy, medieval studies, classics, religious";"Philosophie, études classiques, religieuses et médiévales";"Le ""patient expert"": enjeux épistémiques et normatifs"
;;"Les données numériques en santé: peut-on bâtir la confiance"
;;"Role of ARF1 as a key GTPAse regulating immune surveillance in breast cancer"
"Chemistry";"Chimie";"Critical Replacement of Thermogravimetric Analyzer to Leverage Materials Discovery and Innovation"
;;"Partnering with Canadian Youth to Co-Design a Toolkit to Support Youth who Experience Climate-Related Distress"
;;"Family Acculturation: Identity, Legitimacy, and the Marketplace"
"Computer Science";"Sciences informatiques";"Low-Resource Text Understanding"
"Sociology, demography and related fields";"Sociologie, démographie et domaines connexes";"Privilège des minoritaires et inégalités épistémiques: une perspective féministe et décoloniale sur la reconnaissance des savoirs expérientiels dans la lutte contre la pauvreté au Québec et en Belgique francophone"
"Sociology, demography and related fields";"Sociologie, démographie et domaines connexes";"L'esthétique moyenne ou la coupe régulière"
"Multidisciplinary or interdisciplinary social sciences";"Sciences sociales multi- ou interdisciplinaires";"Deepening understanding on infant and child mortality disparities in low- and middle-income countries: untangling the direct and indirect effects of gender inequality"
"Behavioural Sciences – Neurobiological Basis of Behavioural Processes";"Sciences comportementales - Fondements neurologiques des processus comportementaux";"Isolating the role of the raphe-ventral hippocampus serotonergic pathway in anxiety"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Facing pain is effortful: a multidisciplinary approach to investigate the effects of pain on perception of effort and performance"
"Civil, Industrial and Systems Engineering";"Génie civil, industriel et des systèmes";"Enjeux émergents liés à la présence de manganèse dans les eaux potables"
;;"Élaboration d'un procédé de stockage de CO2 par minéralisation visant à réduire les émissions des Gaz à Effet de Serre du secteur agricole"
"Economics";"Sciences économiques";"Factor models for forecasting and macroeconomic applications"
"Literature";"Études littéraires";"Une histoire écrite avec des si. Les devenirs romanesques des idéaux libertaires (1898-1940)"
;;"Jean-Marc Vallée : de Montréal à Hollywood"
"Cancer Progression & Therapeutics";"Progression du cancer et thérapeutique";"Prebiotics to modify the gut microbiome and enhance immune checkpoint blockers"
"Public, Community & Population Health";"Santé publique, santé communautaire et santé des populations";"Words Matter, Numbers Matter, Ways Matter: Establishing a Data and Resource Platform to Guide Equitable Healthcare for Women Living with Female Genital Mutilation/Cutting in Canada"
"Anthropology and archaeology";"Anthropologie et archéologie";"Dynamiques de cohabitation à l'ère de la ""super-diversité"""
"Mathematics and Statistics";"Mathématiques et statistique";"Dependence Modelling for Arbitrary Distributions"
"Anthropology and archaeology";"Anthropologie et archéologie";"CONTACT BY SEA: : Basques et Autochtones dans le golfe Saint-Laurent, XVIe-XVIIIe siècle"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"The impact of genetic variation on genome biology and function"
"Clinical Investigation – Reproduction, Maternal, Child and Youth Health";"Études cliniques - Reproduction, santé des jeunes, de la mère et de l'enfant";"Orphan Nuclear Receptor Regulation of Fertility"
"Cardiovascular System – Heart and Circulation";"Système cardiovasculaire - Cœur et circulation";"Identifying the roles of atypical MAP kinases ERK3 and ERK4 in cardiac remodelling"
"Civil, Industrial and Systems Engineering";"Génie civil, industriel et des systèmes";"Valorisation des données industrielles"
"Materials and Chemical Engineering";"Génie chimique et des matériaux";"Multiphysics and multiscale modeling for the intensification of chemical engineering processes"
"Cancer Progression & Therapeutics";"Progression du cancer et thérapeutique";"Targeting BMP signaling in the tumor endothelium to improve cancer immunotherapy"
;;"The Impact of Job Transformations on Frontline Employees' Burnout and Performance: Examining the Roles of Manager Support and Empathy"
;;"Structural design and rehabilitation of bridge superstructure and foundation elements utilizing fibre reinforced concrete and ultra-high performance fibre reinforced concrete with conventional reinforcement"
"Education and social work";"Éducation et travail social";"Des dispositifs de développement professionnels transformateurs pour les enseignants du postsecondaire"
"Mechanical Engineering";"Génie mécanique";"High-fidelity simulations of turbulent combustion relevant to gas turbines and compression ignition engines"
;;"Responsible Conduct in Research: From Norms to Practice"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Integrity of the cellular transformation barriers in reprogrammed cell"
"Evolution and Ecology";"Évolution et écologie";"Deuterostome extracellular matrix structures (ossicles and tubes): Evolution, composition, function and development"
"Chemistry";"Chimie";"Finding Order in Chaos: Vibrational Spectroscopy Study of Oriented Soft Materials"
;;"COVID-19 seroepidemiology in children Using Retrieved POPCORN site Leftover Samples (CURNLS)"
;;"COVIH study: COVID-19 burden in HIV infected individuals"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Unravelling the physiological function of a highly conserved HNRNPA1 splice variant"
;;"Valorisation des données de production manufacturière pour une prise de décision personnalisée et décentralisée"
;;"Uncovering causal complexities and trade-offs in the acceptance of mobile apps used to protect communities: the case of emergency response and contact tracing technologies"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Acquisition of an ultracentrifuge to support research in the field of veterinary infectious diseases"
"Multidisciplinary or interdisciplinary humanities";"Sciences humaines multi- ou interdisciplinaires";"Penser et agir pour la paix au Québec"
"Fine Arts, Research-Creation";"Beaux-arts, recherche-création";"Towards a visualization-assisted international history of videogame culture"
;;"Modélisation et optimisation biomécanique d'orthèses et d'instrumentation de modulation de croissance pour le traitement de la scoliose pédiatrique"
"Clinical Investigation – Arthritis, Bone, Skin and Cartilage";"Études cliniques - Arthrite, os, peau et cartilages";"Randomized controlled trial to evaluate the effect of a postural re-education intervention compared to standard care on scoliosis progression in adolescent"
"Multidisciplinary or interdisciplinary social sciences";"Sciences sociales multi- ou interdisciplinaires";"Sommeil après une commotion cérébrale : impact sur le bien-être et le fonctionnement familial"
;;"Few-Mode Optical Coherence Tomography (FM-OCT)"
;;"(IN)VISIBILISATION : Le design au prisme de l'itinérance"
"Hematology, Digestive Disease & Kidney";"Hématologie, maladies digestives et rein";"Targeting SMOC2-induced epithelial-to-mesenchymal transition inhibits senescence in mouse models of kidney fibrosis"
"Law and criminology";"Droit et criminologie";"Modèle explicatif des liens drogues-crimes des jeunes femmes adultes: une nouvelle perspective"
;;"Mégadonnées et techniques avancées démystifiées"
"Electrical and Computer Engineering";"Génie électrique et de l'informatique";"Developing neurocomputational tools for the prediction and modulation of consciousness"
"Education and social work";"Éducation et travail social";"Description et analyse des interactions orales entre adulte (enseignante/parent) et enfant en lien avec les habiletés narratives lors de la lecture d'albums plurilingues dans une perspective de collaboration école-famille en milieu pluriethnique"
"Education and social work";"Éducation et travail social";"Contribuer au développement d'écoles plus justes et inclusives du personnel scolaire de groupes racisés : quels cadres de référence éthique pour les directions d'établissement d'enseignement?"
"Systems & Circuits Neurosciences";"Systèmes et circuits en neurosciences";"Manipulating methionine metabolism to shape immune responses and modify disease progression in both sexes in MS"
"Clinical Investigation – Cardiovascular Systems";"Études cliniques - Systèmes cardiovasculaires";"Lymphatic vessel function in atherosclerosis"
"Literature";"Études littéraires";"Théorie de l'improvisation comme pratique de vulnérabilité en recherche-création"
"Law and criminology";"Droit et criminologie";"Potentialiser le leadership normatif de l'Organisation mondiale de la santé: une étude internationale"
;;"PARCS en Santé: Contrôler les agents pathogènes transmis par les tiques tout en protégeant la biodiversité des parcs nature péri-urbains"
"Sociology, demography and related fields";"Sociologie, démographie et domaines connexes";"Appréhender la colère sociale : une enquête comparative auprès des jeunes NEET au Québec et en Ontario"
"Education and social work";"Éducation et travail social";"La professionnalisation des enseignants d'éducation physique et à la santé à l'école primaire et secondaire : l'enjeu stratégique du savoir professionnel au Québec et en Ontario"
"Mechanical Engineering";"Génie mécanique";"Two-phase flow numerical model development based on experimental characterization"
;;"Idea vitality and group idea elaboration"
;;"La réorganisation des services institutionnels et communautaires auprès des personnes en situation d'itinérance et les besoins des personnes en situation d'itinérance pour faire face à la pandémie de COVID-19"
"Cardiovascular System – Cells and Tissues";"Système cardiovasculaire - Cellules et tissus";"Contribution of 17beta-estradiol in pregnancy-related cardiac arrhythmias"
"Mutidisciplinary or interdisciplinary social sciences";"Sciences sociales multi- ou interdisciplinaires";"Le vivant à l'aune de l'Anthropocène. Étude des enjeux matériels, sociaux, culturels, éthiques et épistémologiques des représentations du vivant et des imaginaires sociotechniques des biotechnologies"
"Electrical and Computer Engineering";"Génie électrique et de l'informatique";"Connectivité intelligente des véhicules urbains dans un réseau hétérogène d'ondes millimétriques"
"Communications, media studies, gender studies, library and information science, related fields";"Communications, études médiatiques, études de genre, bibliothéconomie et sciences de l'information, domaines connexes";"How spokespersons stand for, act for, and speak for a collective: Understanding the communicative inner workings of political representation and its organizing effects"
;;"Coconstruire un modèle théorique de l'objection de conscience : approfondir sa compréhension afin de mieux l'intégrer à la formation et la pratique infirmière"
;;"Acceptability, user experience and effect of a new mobile app, 'OUPS!', a FemTech solution designed for the treatment of urinary incontinence in menopausal women: a mixed method study"
;;"Traduction et journalisme/Translation and Journalism/Traducción y periodismo"
"Education and social work";"Éducation et travail social";"Réponse différentielle à l'évaluation formelle en protection de la jeunesse en contexte de diversité ethnoculturelle: portrait de la situation et perspectives des familles et des intervenants"
"Civil, Industrial and Systems Engineering";"Génie civil, industriel et des systèmes";"Grey box optimization"
"Materials and Chemical Engineering";"Génie chimique et des matériaux";"Polymers for realizing energetic materials with tailored performance"
;;"How does the interplay between mandatory and voluntary regulation shape industry practice change for the better?"
;;"Unité de liaison pour la recherche internationale sur le conseil scientifique"
"Philosophy";"Philosophie";"La téléologie naturelle au 18e siècle"
"Philosophy";"Philosophie";"Mouvements sociaux, droits sociaux et démocratie. Une théorie normative"
"Materials and Chemical Engineering";"Génie chimique et des matériaux";"Modeling the thermodynamic and physical properties of Deep Eutectic Solvents"
;;"La qualité des relations employé-superviseur : Un modèle processuel des antécédents, conséquences, et modérateurs des évaluations comparatives"
"Literature";"Études littéraires";"Mathésis, mimésis, sémiosis : la littérarité des genres populaires dans les littératures francophones d'Afrique subsaharienne, du Maghreb et des Caraïbes"
"Anthropology and archaeology";"Anthropologie et archéologie";"Regime Change and Resilience of Maya peoples at the end of the Classic period (ca. 800-1000 CE)"
"Crisis/Suicide Line and App-based Support Models for post traum. stress in public safety personnel (PSP)";"Lignes d'écoutes et modèles applicatifs de support pour le stress post-traumatique chez les premiers répondants";"Recommendations for culturally sensitive and intersectional practice in suicide prevention intervention for public safety personnel : a qualitative approach"
"Philosophy";"Philosophie";"Varieties of Valuings"
"Civil, Industrial and Systems Engineering";"Génie civil, industriel et des systèmes";"Pilotage en temps réel des systèmes à l'ère de l'industrie 4.0"
;;"Understanding Esophageal Atresia using Induced Pluripotent Stem Cells"
"Microbiology & Infectious Diseases";"Microbiologie et maladies infectieuses";"Discovery and characterization of novel genetic-exchange and drug-resistance mechanisms in Leishmania parasites"
"Computer Science";"Sciences informatiques";"From Perception and Learning to Understanding and Action"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Novel mechanisms of theca cell growth in the ovarian follicle of cattle"
;;"An OCT-controlled system for precise and reproducible subretinal drug injection in mice"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Bioenergetic role of astrocytes in neuronal plasticity and behaviour"
"Sociology, demography and related fields";"Sociologie, démographie et domaines connexes";"In Democracy we trust, do we?"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Minimally-invasive monitoring of renal health in reptiles"
;;"Le réenchantement à contretemps ? Irrationalité et postmodernité littéraire"
;;"Structure-functional property-device performance relationships in electronic and energy materials and devices"
;;"AI augmented pilot"
;;"Transfert, appropriation et rétention des pratiques associées à l'approvisionnement valorisant l'innovation dans le réseau québécois de la santé : le cas de l'approche fonctionnelle"
;;"Le patrimoine des groupes ethnoculturels de Montréal: le cas de Montréal-Nord"
"Anthropology and archaeology";"Anthropologie et archéologie";"Documenting forager adaptations to dramatic climate change at the Pleistocene-Holocene transition in Liguria (Italy)"
;;"Abordabilité intégrée: état des connaissances sur les interactions entre coûts d'habitation et de transport"
"Environmental Sciences";"Sciences de l'environnement";"High definition digital microscope for accelerating Québec entomological research"
"Civil, Industrial and Systems Engineering";"Génie civil, industriel et des systèmes";"Envisioning and Enacting UX Evaluation of Augmented Reality: A Multimethod Approach"
"Mechanical Engineering";"Génie mécanique";"Kinematic-specific proprioceptive stimulations to better understand sensory control of gait movements"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Attentional processes in the human insula"
"Mechanical Engineering";"Génie mécanique";"Towards More Autonomous and Safer Unmanned Aerial Vehicle Systems"
"Geosciences";"Géosciences";"Subsea and terrestrial permafrost of the central and eastern Canadian Arctic Archipelago"
;;"Global Centers Track 2: Heat Adaptation"
"Virology & Viral Pathogenesis";"Virologie et pathogenèse virale";"Immunovirological determinants of breakthrough COVID-19 disease in vaccinated or previously infected individuals"
;;"Hormonal control of stamen filament growth"
"Biochemistry & Molecular Biology";"Biochimie et biologie moléculaire";"Investigate features and dynamics of intron RNP biology and its role in modulating RNA metabolism"
;;"CircRNAome in childhood TCF3-PBX1 ALL: Biomaker potential and mechanisms of circRNA dysregulation and function"
;;"Additive manufacturing technologies for high-performance and high-productivity of multifunctional composite structures and their sustainability for aerospace applications"
;;"Computational methods and frameworks for unsupervised machine learning"
;;"Au coeur du cosmos TRYSPACES: Colloque, exposition et bibliothèque numérique"
;;"Understanding Attitudes toward Artists with a Physical Disability"
"Materials and Chemical Engineering";"Génie chimique et des matériaux";"Non-target analysis of radicals in sonochemical and advanced oxidation processes (AOPs)"
;;"La cyberviolence dans les relations amoureuses des jeunes : identifier les facteurs de risque et de protection ainsi que leurs impacts différenciés selon le genre"
;;"""Sentometrics"": Econometrics of textual sentiment with applications in economics and finance"
;;"Clean Energy transition, Market Design and Industry Dynamics"
;;"Conférence de l'International Society for the Study of Drug Policy"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Methods development for the measurement of single-cell molecular state"
;;"Multifunctional Engineering Structures via Embodied Intelligence"
"Physics";"Physique";"Spin waves in ferromagnetic metallic wires"
"Genes, Cells and Molecules";"Gènes, cellules et molécules";"Molecular Chronobiology and regulation of gene expression in dinoflagellates"
;;"Combiner l’hypnose, la réalité virtuelle, la neurophysiologie et l’intelligence artificielle dans la gestion non-pharmacologique et personnalisée de la douleur chronique"
"Philosophy";"Philosophie";"Les théories inédites de la foi des penseurs dominicains des années 1250-1350"
;;"Computationally efficient multiphysics and multiscale modeling approaches applied to porous materials engineering"
"Economics";"Sciences économiques";"Marriage, Sorting, and Segregation Across U.S. Cities"
"Materials and Chemical Engineering";"Génie chimique et des matériaux";"Highly versatile benchtop Flow Cytometry Analyzer"
;;"Analysis of Extreme Values"
"History";"Histoire";"Frontlines to Headlines: The Politics of Memory, War and the Press in interwar Germany"
"Chemistry";"Chimie";"Mechanistic Investigations of Nickel-Promoted C-Heteroatom Bond Making Reactions"
;;"Manipulated Procurement"
;;"Functionalized Bilayer Graphene Devices: Achieving Selectivity and Sensitivity"
;;"Le rôle de la résilience sur la santé et le bien-être des équipes interprofessionnelles: validation d'une démarche managériale participative"
"Law and criminology";"Droit et criminologie";"Les jeunes en difficulté et faisant l'objet d'une double prise en charge judiciaire : parcours de vie, trajectoires dans les services et pratiques professionnelles"
"Fine Arts, Research-Creation";"Beaux-arts, recherche-création";"Before the ""Great Divide"": The Shared Language(s) of Art and Science in the Early Modern Period"
;;"MID-INFRARED QUANTUM TECHNOLOGY FOR SENSING (MIRAQLS)"
"Cancer Progression & Therapeutics";"Progression du cancer et thérapeutique";"Exploiting minor histocompatibility antigens for personalized cancer immunotherapy"
"Economics";"Sciences économiques";"Investment incentives in matching markets: on the foundations of competitive models"
"Computer Science";"Sciences informatiques";"Advancing Machine Learning with Causal Models"
"Medieval, classics, religious studies";"Études classiques, religieuses et médiévales";"The Brahma Kumari Tradition in Canada and the United States"
"Education and social work";"Éducation et travail social";"Social polarization in high schools during COVID-19: A mixed-method Positive Youth Development research to inform how to promote well-being and reduce violence among adolescents"
;;"Assessing the community needs of Canadians with limb loss: Building the foundation for community action"
;;"Addition of high dose Stimulant and engagement-focused Contingency management, alone and in combination, to treatment as usual for the management of MEthamphetamine use disorder (ASCME): a pan-Canadian multisite randomized controlled trial"
;;"Écrire / Traduire / Visualiser les humanités numériques"
"Chemistry";"Chimie";"Smart Electrolytes for a New Perspective on Electrochemical Energy Storage"
"History";"Histoire";"Femmes et pouvoirs dans le bailliage de Montréal (1644-1693)"
"Psychology";"Psychologie";"Entre pressions socioculturelles et insatisfaction à l'égard de l'image corporelle : le rôle médiateur de caractéristiques personnelles chez les adolescents et jeunes hommes."
"Computer Science";"Sciences informatiques";"Multi-Precision Optimization and Methods with Inaccurate Functions and Derivatives"
"Mechanical Engineering";"Génie mécanique";"Adaptive FEM for Analysis, Design, and Control of Complex Flows"
"Cancer Progression & Therapeutics";"Progression du cancer et thérapeutique";"Diagnosis of Aggressive Prostate Cancer Using Key Features of Raman Spectroscopy"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Maintaining balance in an unstable environment: A central role for the vestibular system"
"Biological Systems and Functions";"Systèmes et fonctions biologiques";"Multifarious roles of the smallest Arabidopsis thaliana MAPKKKs clade (MAPKKK19, 20 and 21) as an integrative hub for plant pathogen interactions, growth, development and reproduction"
"Civil, Industrial and Systems Engineering";"Génie civil, industriel et des systèmes";"Occurrence et contrôle des bactéries opportunistes et bioaérosols issus des systèmes de traitement des eaux usées"
"Political science and public administration";"Science politique et administration publique";"Le confinement : étude comparée du choix d'un instrument de politique publique extrême"
;;"Valorisation des noirs de carbone recyclés de pneus usagés"
;;"""Managing AI in Health Ecosystems"" Masterclass"
"Cell Biology – Molecular/Fundamental";"Biologie cellulaire – moléculaire/fondamentale";"Novel regulatory mechanisms of the mammalian nuclear proteasome through liquid-liquid phase separation"
;;"Integrating early neuromonitoring biomarkers to better define eligibility for therapeutic hypothermia after perinatal hypoxia-ischemia"
;;"Metasurface and Metamaterial-Inspired Devices for 5G, IoT, Sensing and Space Applications"
