;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.9529715776443481;RDF303;Health sciences;0.9327602386474609;RDF302;Clinical medicine;0.8806431889533997;RDF304;Medical biotechnology;0.35225751996040344
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.3939254879951477;RDF603;Philosophy;0.46292823553085327;RDF602;Languages and literature;0.060307640582323074;RDF605;Other humanities;0.036700356751680374
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.7708495855331421;RDF106;Biological sciences;0.9778834581375122;RDF107;Other natural sciences;0.1704389452934265;RDF103;Physical sciences;0.11666334420442581
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF20-21;Engineering and technology;0.8866768479347229;RDF207;Medical and biomedical engineering;0.5338379740715027;RDF205;Chemical engineering;0.3510885238647461;RDF211;Nano-technology;0.2753245234489441
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF30;Medical, health and life sciences;0.9278621673583984;RDF303;Health sciences;0.9761745929718018;RDF301;Basic medicine and life sciences;0.6910805702209473;RDF304;Medical biotechnology;0.3351876139640808
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.7030988931655884;RDF303;Health sciences;0.862351655960083;RDF305;Other medical sciences;0.1602003276348114;RDF302;Clinical medicine;0.12294380366802216
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);RDF50;Social sciences;0.6344485878944397;RDF503;Education;0.9982108473777771;RDF504;Sociology and related studies;0.23318210244178772;RDF509;Other social sciences;0.16701477766036987
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);RDF20-21;Engineering and technology;0.8083696365356445;RDF211;Nano-technology;0.43141013383865356;RDF205;Chemical engineering;0.20713451504707336;RDF212;Other engineering and technologies;0.07004895806312561
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF10;Natural sciences;0.4997808337211609;RDF103;Physical sciences;0.9234543442726135;RDF105;Earth and related environmental sciences;0.7446098923683167;RDF106;Biological sciences;0.7265711426734924
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Political science and public administration);RDF50;Social sciences;0.5327737331390381;RDF506;Political science and policy administration;0.958304226398468;RDF505;Law and legal practice;0.6103228330612183;RDF509;Other social sciences;0.09434341639280319
