;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
12;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra (nan);RDF60;Humanities and the arts;0.8207440376281738;RDF20-21;Engineering and technology;0.08621062338352203;RDF10;Natural sciences;0.05048302188515663;RDF50;Social sciences;0.0220975149422884;RDF40;Agricultural and veterinary sciences;0.01155395433306694;RDF30;Medical, health and life sciences;0.008910782635211945
13;Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui (Beaux-arts, recherche-création);RDF60;Humanities and the arts;0.5993415713310242;RDF20-21;Engineering and technology;0.23527921736240387;RDF50;Social sciences;0.12265871465206146;RDF30;Medical, health and life sciences;0.018609341233968735;RDF10;Natural sciences;0.017143728211522102;RDF40;Agricultural and veterinary sciences;0.0069673978723585606
14;Environnement, médias, archives : une anatomie contemporaine de la mélancolie et de la nostalgie (Beaux-arts, recherche-création);RDF60;Humanities and the arts;0.8138160705566406;RDF50;Social sciences;0.07991261035203934;RDF10;Natural sciences;0.06573431938886642;RDF20-21;Engineering and technology;0.019073816016316414;RDF30;Medical, health and life sciences;0.011797028593719006;RDF40;Agricultural and veterinary sciences;0.009666139259934425
15;À votre service : figures ambivalentes du care dans le Roman français de 1870 à 1945 (Études littéraires);RDF60;Humanities and the arts;0.5593806505203247;RDF30;Medical, health and life sciences;0.2788129448890686;RDF40;Agricultural and veterinary sciences;0.07564850896596909;RDF50;Social sciences;0.049708496779203415;RDF10;Natural sciences;0.028966408222913742;RDF20-21;Engineering and technology;0.007482905872166157
16;Une deuxième peau à vif: vêtement, genre et violence dans la Bible hébraïque (Philosophie, études classiques, religieuses et médiévales);RDF60;Humanities and the arts;0.3721882700920105;RDF50;Social sciences;0.2901436984539032;RDF10;Natural sciences;0.18406669795513153;RDF30;Medical, health and life sciences;0.05746842920780182;RDF40;Agricultural and veterinary sciences;0.05111348256468773;RDF20-21;Engineering and technology;0.045019473880529404
17;Plateforme intégrée de caractérisation expérimentale/numérique pour la conception de matériaux poreux innovants (Génie mécanique);RDF20-21;Engineering and technology;0.9390408396720886;RDF10;Natural sciences;0.019019121304154396;RDF30;Medical, health and life sciences;0.014582466334104538;RDF50;Social sciences;0.013873981311917305;RDF40;Agricultural and veterinary sciences;0.007767411880195141;RDF60;Humanities and the arts;0.005716155283153057
18;"Le ""patient expert"": enjeux épistémiques et normatifs (Philosophie, études classiques, religieuses et médiévales)";RDF30;Medical, health and life sciences;0.40680935978889465;RDF50;Social sciences;0.23179298639297485;RDF60;Humanities and the arts;0.16892223060131073;RDF10;Natural sciences;0.12262438982725143;RDF40;Agricultural and veterinary sciences;0.03798726573586464;RDF20-21;Engineering and technology;0.03186377137899399
19;Les données numériques en santé: peut-on bâtir la confiance (nan);RDF30;Medical, health and life sciences;0.5791559815406799;RDF20-21;Engineering and technology;0.30459827184677124;RDF50;Social sciences;0.050556689500808716;RDF10;Natural sciences;0.046257708221673965;RDF60;Humanities and the arts;0.014612603932619095;RDF40;Agricultural and veterinary sciences;0.004818725399672985
20;Privilège des minoritaires et inégalités épistémiques: une perspective féministe et décoloniale sur la reconnaissance des savoirs expérientiels dans la lutte contre la pauvreté au Québec et en Belgique francophone (Sociologie, démographie et domaines connexes);RDF50;Social sciences;0.8387800455093384;RDF60;Humanities and the arts;0.09650501608848572;RDF10;Natural sciences;0.02034742385149002;RDF30;Medical, health and life sciences;0.019992880523204803;RDF40;Agricultural and veterinary sciences;0.012389639392495155;RDF20-21;Engineering and technology;0.011985018849372864
21;L'esthétique moyenne ou la coupe régulière (Sociologie, démographie et domaines connexes);RDF50;Social sciences;0.5223283171653748;RDF60;Humanities and the arts;0.2797187566757202;RDF10;Natural sciences;0.1206585168838501;RDF30;Medical, health and life sciences;0.03626365214586258;RDF40;Agricultural and veterinary sciences;0.02359720878303051;RDF20-21;Engineering and technology;0.01743350736796856
