;sequence;code_div_1;label_div_1;score_div_1;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.9529715776443481;RDF303;Health sciences;0.9327602386474609;RDF302;Clinical medicine;0.8806431889533997;RDF304;Medical biotechnology;0.35225751996040344
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.3939254879951477;RDF603;Philosophy;0.46292823553085327;RDF602;Languages and literature;0.060307640582323074;RDF605;Other humanities;0.036700356751680374
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF10;Natural sciences;0.7708495855331421;RDF106;Biological sciences;0.9778834581375122;RDF107;Other natural sciences;0.1704389452934265;RDF103;Physical sciences;0.11666334420442581
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF20-21;Engineering and technology;0.8866768479347229;RDF207;Medical and biomedical engineering;0.5338379740715027;RDF205;Chemical engineering;0.3510885238647461;RDF211;Nano-technology;0.2753245234489441
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF30;Medical, health and life sciences;0.9278621673583984;RDF303;Health sciences;0.9761745929718018;RDF301;Basic medicine and life sciences;0.6910805702209473;RDF304;Medical biotechnology;0.3351876139640808
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.7030988931655884;RDF303;Health sciences;0.862351655960083;RDF305;Other medical sciences;0.1602003276348114;RDF302;Clinical medicine;0.12294380366802216
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);RDF50;Social sciences;0.6344485878944397;RDF503;Education;0.9982108473777771;RDF504;Sociology and related studies;0.23318210244178772;RDF509;Other social sciences;0.16701477766036987
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);RDF20-21;Engineering and technology;0.8083696365356445;RDF211;Nano-technology;0.43141013383865356;RDF205;Chemical engineering;0.20713451504707336;RDF212;Other engineering and technologies;0.07004895806312561
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF10;Natural sciences;0.4997808337211609;RDF103;Physical sciences;0.9234543442726135;RDF105;Earth and related environmental sciences;0.7446098923683167;RDF106;Biological sciences;0.7265711426734924
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Political science and public administration);RDF50;Social sciences;0.5327737331390381;RDF506;Political science and policy administration;0.958304226398468;RDF505;Law and legal practice;0.6103228330612183;RDF509;Other social sciences;0.09434341639280319
20;Intentions or affect: Which is a key driver of physical activity? Using ecological momentary assessment to understand the intention-behaviour gap in schizophrenia spectrum disorders (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.8715706467628479;RDF501;Psychology and cognitive sciences;0.9029524326324463;RDF504;Sociology and related studies;0.7496374249458313;RDF503;Education;0.5590192675590515
21;Biophysical and genetic control of root growth;RDF10;Natural sciences;0.699303925037384;RDF106;Biological sciences;0.9406263828277588;RDF103;Physical sciences;0.24789637327194214;RDF107;Other natural sciences;0.20386597514152527
22;Open-source numerical strategy for the analysis and redesign of turbomachine blades accounting for nonlinear structural interactions;RDF20-21;Engineering and technology;0.8241460919380188;RDF202;Industrial, systems and processes engineering;0.9345744848251343;RDF204;Mechanical engineering;0.9207184314727783;RDF212;Other engineering and technologies;0.2514638304710388
23;Application of Boltzmann Transport Equation solutions to nuclear reactor physics and radiotherapy applications (Physics);RDF20-21;Engineering and technology;0.8765439987182617;RDF212;Other engineering and technologies;0.08509904146194458;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.009615035727620125;RDF205;Chemical engineering;0.0052710832096636295
24;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur;RDF20-21;Engineering and technology;0.9495943188667297;RDF202;Industrial, systems and processes engineering;0.18506188690662384;RDF203;Electrical engineering, computer engineering, and information engineering;0.15335889160633087;RDF204;Mechanical engineering;0.1478625386953354
25;Interdisciplinary Canadian Collaborative ME Research Network;RDF60;Humanities and the arts;0.24260441958904266;RDF601;History, archaeology and related studies;0.032344333827495575;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.014254463836550713;RDF602;Languages and literature;0.011938038282096386
26;La nouvelle politique de la redistribution (Political science and public administration);RDF50;Social sciences;0.5479992032051086;RDF506;Political science and policy administration;0.9851146936416626;RDF504;Sociology and related studies;0.10866095870733261;RDF503;Education;0.05094090849161148
27;Extracellular vesicles and their miR cargo to enhance ischemia-induced neovascularization in peripheral artery disease (Cardiovascular System – Vascular System);RDF30;Medical, health and life sciences;0.6922649145126343;RDF303;Health sciences;0.9630224704742432;RDF304;Medical biotechnology;0.8415654301643372;RDF302;Clinical medicine;0.5110760927200317
28;Low-Dimensional Organic Materials for Energy, Electronic and Environment Applications;RDF20-21;Engineering and technology;0.4796943664550781;RDF206;Materials engineering and resources engineering;0.4150618314743042;RDF211;Nano-technology;0.3203427493572235;RDF205;Chemical engineering;0.2877177894115448
29;Histone protein supply and demand: life on a knife's edge (Genes, Cells and Molecules);RDF30;Medical, health and life sciences;0.6777094602584839;RDF301;Basic medicine and life sciences;0.9073122143745422;RDF303;Health sciences;0.673782229423523;RDF305;Other medical sciences;0.2678867280483246
30;Bayesian deep-learning prediction with sparse graphs (Mathematics and Statistics);RDF10;Natural sciences;0.6291378140449524;RDF101;Mathematics and statistics;0.9882335066795349;RDF102;Computer and information sciences;0.20537589490413666;RDF103;Physical sciences;0.0401625819504261
31;At the Edge of Soft Power: French Saint-Simonians and Nineteenth-Century Visions of Development (History);RDF60;Humanities and the arts;0.4306696057319641;RDF601;History, archaeology and related studies;0.9987131953239441;RDF602;Languages and literature;0.03085050918161869;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.017442485317587852
32;Random walks on random graphs in high dimensions (Mathematics and Statistics);RDF10;Natural sciences;0.5201441049575806;RDF101;Mathematics and statistics;0.9888527393341064;RDF102;Computer and information sciences;0.8606622219085693;RDF107;Other natural sciences;0.024053551256656647
33;Roles, mechanisms of action and regulation of Hippo signaling in the testis (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.577215313911438;RDF301;Basic medicine and life sciences;0.6174260973930359;RDF303;Health sciences;0.6133378744125366;RDF305;Other medical sciences;0.17252010107040405
34;The role of the TGFB-SOX9 signaling pathway in brain angiogenesis (Biological Systems and Functions);RDF30;Medical, health and life sciences;0.6145818829536438;RDF303;Health sciences;0.39313745498657227;RDF305;Other medical sciences;0.2934044897556305;RDF301;Basic medicine and life sciences;0.22669804096221924
35;A randomized controlled trial comparing Virtual Reality Therapy to Supportive Therapy to reduce cannabis use in patients with psychotic disorders;RDF30;Medical, health and life sciences;0.7046036124229431;RDF303;Health sciences;0.9200026392936707;RDF302;Clinical medicine;0.6089138388633728;RDF304;Medical biotechnology;0.25446265935897827
36;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage (Education and social work);RDF60;Humanities and the arts;0.3989679515361786;RDF605;Other humanities;0.012007351033389568;RDF602;Languages and literature;0.005030917003750801;RDF601;History, archaeology and related studies;0.000807230593636632
37;Impact of insects by-products and phytogenics on the piglet's intestinal health;RDF30;Medical, health and life sciences;0.5062474608421326;RDF303;Health sciences;0.9029096961021423;RDF301;Basic medicine and life sciences;0.6773939728736877;RDF305;Other medical sciences;0.2950267493724823
38;Response of the continental water cycle to greenhouse warming: evaluating, understanding and constraining Earth System Model projections (Geosciences);RDF20-21;Engineering and technology;0.46321940422058105;RDF208;Environmental engineering and related engineering;0.22456520795822144;RDF209;Environmental biotechnology;0.028034118935465813;RDF212;Other engineering and technologies;0.02161533385515213
39;Why Do Green Products Suffer from Low Consumer Preference? An Explanation Based on Ease of Benefit Visualization and Price Fairness Perceptions;RDF50;Social sciences;0.40563660860061646;RDF503;Education;0.6815677881240845;RDF501;Psychology and cognitive sciences;0.5673368573188782;RDF502;Economics and business administration;0.5288832187652588
40;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles (Geography, urban planning and related fields);RDF50;Social sciences;0.35008367896080017;RDF509;Other social sciences;0.07068779319524765;RDF507;Social and economic geography;0.027169231325387955;RDF504;Sociology and related studies;0.008830244652926922
41;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles);RDF60;Humanities and the arts;0.47809073328971863;RDF601;History, archaeology and related studies;0.6295753121376038;RDF605;Other humanities;0.05384937301278114;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.02134847454726696
42;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale;RDF50;Social sciences;0.4539099931716919;RDF504;Sociology and related studies;0.7057597041130066;RDF503;Education;0.24757789075374603;RDF501;Psychology and cognitive sciences;0.17546741664409637
43;The ethical challenges of Artificial Intelligence for start-ups;RDF20-21;Engineering and technology;0.9456502795219421;RDF203;Electrical engineering, computer engineering, and information engineering;0.718298077583313;RDF202;Industrial, systems and processes engineering;0.13957221806049347;RDF212;Other engineering and technologies;0.12956784665584564
44;Integrating impacts from marine plastics in Life Cycle Assessment (Civil, Industrial and Systems Engineering);RDF20-21;Engineering and technology;0.6299806237220764;RDF208;Environmental engineering and related engineering;0.8183015584945679;RDF202;Industrial, systems and processes engineering;0.5142173767089844;RDF205;Chemical engineering;0.16708272695541382
45;A Semantic Parsing Approach to Open-world Knowledge Graph Question Answering;RDF20-21;Engineering and technology;0.6657456159591675;RDF203;Electrical engineering, computer engineering, and information engineering;0.46092578768730164;RDF212;Other engineering and technologies;0.06578466296195984;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.012007351033389568
46;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé (Indigenous research);RDF30;Medical, health and life sciences;0.6865019798278809;RDF303;Health sciences;0.8155999779701233;RDF301;Basic medicine and life sciences;0.0755847916007042;RDF302;Clinical medicine;0.03397199511528015
47;Pathways for the digital economy: Adolescent digital literacies and InstaPoetry;RDF20-21;Engineering and technology;0.7520171403884888;RDF203;Electrical engineering, computer engineering, and information engineering;0.4579774737358093;RDF212;Other engineering and technologies;0.10715685784816742;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.012170628644526005
48;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.9683359861373901;RDF504;Sociology and related studies;0.9043975472450256;RDF503;Education;0.1336977332830429;RDF509;Other social sciences;0.12995381653308868
49;Bilingualism and attentional processes in the age and language proficiency continuum (Biological Systems and Functions);RDF10;Natural sciences;0.46696925163269043;RDF106;Biological sciences;0.952175498008728;RDF107;Other natural sciences;0.07075197249650955;RDF103;Physical sciences;0.00851130299270153
50;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra;RDF60;Humanities and the arts;0.7627790570259094;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.6748411655426025;RDF605;Other humanities;0.01971912756562233;RDF602;Languages and literature;0.00130450667347759
51;"""Domestic art galleries"" in Cuba, Russia, and China after 1989: a(n) (imagined) trans-socialist network (Fine Arts, Research-Creation)";RDF60;Humanities and the arts;0.9551150798797607;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.9494354724884033;RDF605;Other humanities;0.043365802615880966;RDF601;History, archaeology and related studies;0.0010546240955591202
52;Advancing the understanding of fundamental principles of motor control (Biological Systems and Functions);RDF10;Natural sciences;0.6019353866577148;RDF106;Biological sciences;0.9177091717720032;RDF103;Physical sciences;0.6173107624053955;RDF107;Other natural sciences;0.10221505165100098
53;Impact Award: Insight;RDF20-21;Engineering and technology;0.43142062425613403;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.06614568084478378;RDF202;Industrial, systems and processes engineering;0.036908067762851715;RDF208;Environmental engineering and related engineering;0.032466813921928406
54;New Methods for the Stereoselective Synthesis of Organic Compounds (Chemistry);RDF10;Natural sciences;0.5228455662727356;RDF104;Chemical sciences;0.9854404926300049;RDF107;Other natural sciences;0.05701886862516403;RDF103;Physical sciences;0.012747264467179775
55;Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui (Fine Arts, Research-Creation);RDF60;Humanities and the arts;0.6076696515083313;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.6450221538543701;RDF603;Philosophy;0.06632687151432037;RDF605;Other humanities;0.029423581436276436
56;Environnement, médias, archives : une anatomie contemporaine de la mélancolie et de la nostalgie (Fine Arts, Research-Creation);RDF60;Humanities and the arts;0.8454530239105225;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.434101402759552;RDF605;Other humanities;0.08057423681020737;RDF601;History, archaeology and related studies;0.05227922275662422
57;Multimode determination of gene transcription and metabolic labeling (Genes, Cells and Molecules);RDF10;Natural sciences;0.407629132270813;RDF106;Biological sciences;0.8534247279167175;RDF104;Chemical sciences;0.2183358520269394;RDF107;Other natural sciences;0.18293584883213043
58;SLAMF7 in innate immune cells and anti-cancer immunotherapy;RDF30;Medical, health and life sciences;0.7914034128189087;RDF303;Health sciences;0.9398581981658936;RDF304;Medical biotechnology;0.8548846244812012;RDF301;Basic medicine and life sciences;0.31357741355895996
59;À votre service : figures ambivalentes du care dans le Roman français de 1870 à 1945 (Literature);RDF60;Humanities and the arts;0.670817494392395;RDF602;Languages and literature;0.8574699759483337;RDF601;History, archaeology and related studies;0.08905768394470215;RDF605;Other humanities;0.03989988937973976
60;Using a point-of-care electrophysiological method to study the impact of neuro-sacral function on recovery after acute spinal cord injury;RDF30;Medical, health and life sciences;0.8551692366600037;RDF303;Health sciences;0.9114164710044861;RDF301;Basic medicine and life sciences;0.5770559906959534;RDF302;Clinical medicine;0.5312550067901611
61;Local intersectoral networks and institutional transformations: how can local actors promote social innovations? (Education);RDF50;Social sciences;0.6740121841430664;RDF503;Education;0.9985896348953247;RDF504;Sociology and related studies;0.4599250257015228;RDF509;Other social sciences;0.17603328824043274
62;Plasma biomarkers of Alzheimer's disease in insomnia before and after cognitive behavioral therapy for insomnia;RDF30;Medical, health and life sciences;0.8646765351295471;RDF303;Health sciences;0.9679598808288574;RDF302;Clinical medicine;0.7352140545845032;RDF301;Basic medicine and life sciences;0.7198269963264465
63;Developing algorithm aided fabrication methods for polyhedral structures (Civil, Industrial and Systems Engineering);RDF20-21;Engineering and technology;0.9773272275924683;RDF202;Industrial, systems and processes engineering;0.6134898066520691;RDF212;Other engineering and technologies;0.1573309600353241;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.05807814747095108
64;SARS-CoV-2 Spike conformation: impact on Fc-mediated effector functions (Virology & Viral Pathogenesis);RDF30;Medical, health and life sciences;0.8551509976387024;RDF303;Health sciences;0.6171377301216125;RDF305;Other medical sciences;0.28427785634994507;RDF301;Basic medicine and life sciences;0.27810972929000854
65;Questions in number theory (Mathematics and Statistics);RDF10;Natural sciences;0.6804963946342468;RDF101;Mathematics and statistics;0.9949199557304382;RDF103;Physical sciences;0.11721798032522202;RDF107;Other natural sciences;0.03514484688639641
66;The mammalian target of rapamycin provides the female rodent heart sex-dependent resistance to ischemic damage (Gender, Sex & Health);RDF30;Medical, health and life sciences;0.7086862325668335;RDF303;Health sciences;0.9428760409355164;RDF301;Basic medicine and life sciences;0.6782736778259277;RDF302;Clinical medicine;0.6612942814826965
67;The CAnadian Mother-ChIld COLlaborative Training Platform - The CAMCCO-L Training Platform (Health Research Training Platform);RDF20-21;Engineering and technology;0.7130730748176575;RDF207;Medical and biomedical engineering;0.28567078709602356;RDF212;Other engineering and technologies;0.19876310229301453;RDF202;Industrial, systems and processes engineering;0.08028532564640045
68;Life course body fatness and physical activity, and ovarian cancer etiology (Gender, Sex & Health);RDF30;Medical, health and life sciences;0.890239953994751;RDF303;Health sciences;0.9459512829780579;RDF301;Basic medicine and life sciences;0.5794748067855835;RDF302;Clinical medicine;0.36330798268318176
69;Modeling cue-triggered relapse to cocaine use in rats (Behavioural Sciences – Neurobiological Basis of Behavioural Processes);RDF30;Medical, health and life sciences;0.8775379061698914;RDF303;Health sciences;0.21223202347755432;RDF301;Basic medicine and life sciences;0.18937113881111145;RDF305;Other medical sciences;0.05079945549368858
70;Exploring emotional underpinnings of audit work amidst the rise of the digital age;RDF20-21;Engineering and technology;0.40233314037323;RDF203;Electrical engineering, computer engineering, and information engineering;0.09001296758651733;RDF212;Other engineering and technologies;0.0398624949157238;RDF202;Industrial, systems and processes engineering;0.022243667393922806
71;Moving towards culturally safe services for Indigenous people in forensic mental health: A Partnership Development Programme;RDF30;Medical, health and life sciences;0.6247031092643738;RDF303;Health sciences;0.4346056580543518;RDF305;Other medical sciences;0.030646778643131256;RDF304;Medical biotechnology;0.023241925984621048
72;Development of functional language brain networks: a multimodal neuroimaging approach (Physics);RDF20-21;Engineering and technology;0.34898442029953003;RDF212;Other engineering and technologies;0.029619429260492325;RDF203;Electrical engineering, computer engineering, and information engineering;0.008644177578389645;RDF207;Medical and biomedical engineering;0.006890460383147001
73;Une deuxième peau à vif: vêtement, genre et violence dans la Bible hébraïque (Philosophy, medieval studies, classics, religious);RDF60;Humanities and the arts;0.4132252633571625;RDF603;Philosophy;0.41472128033638;RDF602;Languages and literature;0.2252461463212967;RDF605;Other humanities;0.09025324136018753
74;Social Innovation through Participatory Art and Design with Youth at the Margins - Solutions for Engaging and Empowering Youth with Trans-Atlantic Mirroring (Social Innovation);RDF60;Humanities and the arts;0.7593276500701904;RDF604;Arts (arts, history of arts, performing arts, music), architecture and design;0.7768346667289734;RDF603;Philosophy;0.014957085251808167;RDF605;Other humanities;0.008445627056062222
75;Assessment of renal function in adults born preterm: The HAPI-Kidney study (Clinical Investigation – Reproduction, Maternal, Child and Youth Health);RDF30;Medical, health and life sciences;0.955805778503418;RDF303;Health sciences;0.9737197160720825;RDF302;Clinical medicine;0.8922343254089355;RDF304;Medical biotechnology;0.6555014252662659
76;Unveiling the Role of Cellular Aging in Postmenopausal Syndrome: Rationale for Senolytic-Based Strategies to Enhance Women's Health;RDF30;Medical, health and life sciences;0.9146379232406616;RDF303;Health sciences;0.9791556596755981;RDF301;Basic medicine and life sciences;0.6445887088775635;RDF302;Clinical medicine;0.6318214535713196
77;Optimizing the Ageing Brain? Situating Ethical Aspects of Dementia Prevention (BEAD);RDF30;Medical, health and life sciences;0.8727256059646606;RDF303;Health sciences;0.9513686299324036;RDF301;Basic medicine and life sciences;0.28826841711997986;RDF305;Other medical sciences;0.12836115062236786
78;Multicommunicating during team meetings and its effect on team functioning;RDF50;Social sciences;0.32404908537864685;RDF508;Media and communications;0.9501803517341614;RDF501;Psychology and cognitive sciences;0.5117928385734558;RDF504;Sociology and related studies;0.14258968830108643
79;Transitioning from late adolescence into emerging adulthood: The role of past and current parenting (Psychology);RDF50;Social sciences;0.3741954267024994;RDF501;Psychology and cognitive sciences;0.9914391040802002;RDF503;Education;0.6501063704490662;RDF509;Other social sciences;0.11284428089857101
80;Plateforme intégrée de caractérisation expérimentale/numérique pour la conception de matériaux poreux innovants (Mechanical Engineering);RDF20-21;Engineering and technology;0.9695279598236084;RDF204;Mechanical engineering;0.9980161190032959;RDF206;Materials engineering and resources engineering;0.0792103186249733;RDF202;Industrial, systems and processes engineering;0.07807815819978714
81;How Peers in Healthcare Teams Transform Homelessness Prevention and Care Practices: A Participatory Multiple Case Study;RDF30;Medical, health and life sciences;0.808026909828186;RDF303;Health sciences;0.807688295841217;RDF302;Clinical medicine;0.15707220137119293;RDF301;Basic medicine and life sciences;0.1424703449010849
82;Online stochastic optimization for dynamic operations management systems (Civil, Industrial and Systems Engineering);RDF20-21;Engineering and technology;0.9762802124023438;RDF202;Industrial, systems and processes engineering;0.7314903736114502;RDF201;Civil engineering, maritime engineering, transport engineering, and mining engineering;0.4055784046649933;RDF203;Electrical engineering, computer engineering, and information engineering;0.23361890017986298
83;Assessing latent-structure models in natural language processing with artificial datasets (Computer Science);RDF20-21;Engineering and technology;0.8518120050430298;RDF203;Electrical engineering, computer engineering, and information engineering;0.9181506037712097;RDF212;Other engineering and technologies;0.03864719718694687;RDF202;Industrial, systems and processes engineering;0.038214150816202164
84;Electroactive Self-Assembled Monolayers: Putting Surface-Confined Redox Reactions to Work (Chemistry);RDF20-21;Engineering and technology;0.9275497198104858;RDF205;Chemical engineering;0.9925248622894287;RDF212;Other engineering and technologies;0.11621122807264328;RDF206;Materials engineering and resources engineering;0.11056715995073318
85;Role of SCPPPQ1, a junctional epithelium protein, in maintaining periodontal integrity and health (Clinical Investigation – Arthritis, Bone, Skin and Cartilage);RDF30;Medical, health and life sciences;0.9478276968002319;RDF303;Health sciences;0.9807288646697998;RDF304;Medical biotechnology;0.7938660979270935;RDF302;Clinical medicine;0.7306263446807861
86;What dreams may come: How cinema shapes the language, experience, and images of dreaming (Multidisciplinary or interdisciplinary social sciences);RDF50;Social sciences;0.7179746031761169;RDF504;Sociology and related studies;0.43376782536506653;RDF501;Psychology and cognitive sciences;0.19216008484363556;RDF503;Education;0.18937112390995026
87;Supramolecular strategies to target cellular membranes (Chemistry);RDF30;Medical, health and life sciences;0.7570856213569641;RDF301;Basic medicine and life sciences;0.27820777893066406;RDF303;Health sciences;0.25987258553504944;RDF304;Medical biotechnology;0.1442091017961502
88;Geopolitics, bargaining, and firm selection along the Belt and Road;RDF10;Natural sciences;0.46973520517349243;RDF107;Other natural sciences;0.060197047889232635;RDF105;Earth and related environmental sciences;0.048812415450811386;RDF103;Physical sciences;0.007489624433219433
89;Role of neuron-glia interactions in sensori-motor integration in mastication (Movement & Exercise);RDF30;Medical, health and life sciences;0.6918627619743347;RDF303;Health sciences;0.9691202640533447;RDF301;Basic medicine and life sciences;0.6690154671669006;RDF304;Medical biotechnology;0.5026397705078125
90;Dual-Energy Cone-Beam CT as an online quantitative imaging modality for adaptive radiotherapy (Physics);RDF20-21;Engineering and technology;0.8247221112251282;RDF207;Medical and biomedical engineering;0.7380087375640869;RDF212;Other engineering and technologies;0.10105591267347336;RDF211;Nano-technology;0.03963883966207504
91;"Le ""patient expert"": enjeux épistémiques et normatifs (Philosophy, medieval studies, classics, religious)";RDF30;Medical, health and life sciences;0.39222559332847595;RDF305;Other medical sciences;0.09594074636697769;RDF302;Clinical medicine;0.024940254166722298;RDF301;Basic medicine and life sciences;0.02391638793051243
92;Les données numériques en santé: peut-on bâtir la confiance;RDF30;Medical, health and life sciences;0.6517903804779053;RDF303;Health sciences;0.9630224108695984;RDF304;Medical biotechnology;0.9246196746826172;RDF302;Clinical medicine;0.6801620125770569
93;Role of ARF1 as a key GTPAse regulating immune surveillance in breast cancer;RDF30;Medical, health and life sciences;0.9186713099479675;RDF303;Health sciences;0.9656736254692078;RDF304;Medical biotechnology;0.9105851650238037;RDF301;Basic medicine and life sciences;0.6058136224746704
94;Critical Replacement of Thermogravimetric Analyzer to Leverage Materials Discovery and Innovation (Chemistry);RDF20-21;Engineering and technology;0.8962011933326721;RDF205;Chemical engineering;0.9453489184379578;RDF206;Materials engineering and resources engineering;0.44125914573669434;RDF212;Other engineering and technologies;0.040654852986335754
95;Partnering with Canadian Youth to Co-Design a Toolkit to Support Youth who Experience Climate-Related Distress;RDF20-21;Engineering and technology;0.4841464161872864;RDF212;Other engineering and technologies;0.031439848244190216;RDF208;Environmental engineering and related engineering;0.02525085024535656;RDF203;Electrical engineering, computer engineering, and information engineering;0.011463797651231289
96;Family Acculturation: Identity, Legitimacy, and the Marketplace;RDF50;Social sciences;0.6096228957176208;RDF504;Sociology and related studies;0.7860485911369324;RDF503;Education;0.28492406010627747;RDF501;Psychology and cognitive sciences;0.268461674451828
97;Low-Resource Text Understanding (Computer Science);RDF20-21;Engineering and technology;0.7216769456863403;RDF203;Electrical engineering, computer engineering, and information engineering;0.7433077692985535;RDF206;Materials engineering and resources engineering;0.020586775615811348;RDF212;Other engineering and technologies;0.01500031165778637
